CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
32799	32806	-0.993	0.000	0.8661	0.8241	1
32799	32820	-1.989	0.000	0.8788	0.8250	1
32801	32822	-0.996	0.000	0.7875	0.6591	1
32801	33155	-13.996	0.000	0.7001	0.4779	1
32801	33178	-14.996	0.000	0.7937	0.6420	1
32802	32812	-0.984	0.000	0.8738	0.8325	1
32802	32861	-4.956	0.000	0.7675	0.7336	1
32806	32820	-0.996	0.000	0.9214	0.8678	1
32810	32826	-0.996	0.000	0.8803	0.8005	1
32812	32861	-3.972	0.000	0.7638	0.7156	1
32813	32839	-0.993	0.000	0.9315	0.8435	1
32813	33112	-17.013	0.000	0.9104	0.8212	1
32813	33124	954.442	0.000	0.7082	0.6508	1
32815	32816	-0.018	0.000	0.7105	0.4821	1
32816	32840	-0.987	0.000	0.8810	0.8177	1
32824	32850	-1.006	0.000	0.9608	0.8960	1
32831	32843	-0.993	0.000	0.9044	0.8439	1
32831	32859	-1.980	0.000	0.8193	0.7507	1
32835	32846	-0.995	0.000	0.9245	0.8503	1
32835	32853	-1.975	0.000	0.9098	0.8396	1
32839	33112	-16.020	0.000	0.8865	0.8446	1
32839	33124	955.435	0.000	0.7392	0.6518	1
32842	32858	-1.008	0.000	0.8732	0.8338	1
32843	32859	-0.987	0.000	0.8527	0.7879	1
32844	32852	-0.980	0.000	0.9104	0.8637	1
32846	32853	-0.980	0.000	0.8825	0.8345	1
32847	32863	-1.006	0.000	0.9802	0.9491	1
32848	32874	-0.998	0.000	0.9500	0.8672	1
32851	32884	-1.976	0.000	0.9646	0.9141	1
32851	32889	-2.996	0.000	0.9604	0.8898	1
32851	39618	-1.960	0.000	0.8912	0.8051	1
32851	39624	-2.962	0.000	0.8676	0.7856	1
32851	39648	-17.983	0.000	0.8862	0.8230	1
32851	39652	-19.006	0.000	0.8729	0.8240	1
32852	33009	-14.985	0.000	0.7025	0.6106	1
32852	33016	-16.020	0.000	0.7082	0.6110	1
32855	32856	0.006	0.000	0.7424	0.4864	1
32855	32867	-0.981	0.000	0.7507	0.4961	1
32855	32870	-1.008	0.000	0.7555	0.6056	1
32856	32867	-0.987	0.000	0.8879	0.7925	1
32857	32873	-1.002	0.000	0.9562	0.8876	1
32867	32870	-0.027	0.000	0.7112	0.4675	1
32872	32897	-1936.938	0.000	0.7805	0.7252	1
32879	32903	-1.004	0.000	0.9690	0.9261	1
32884	32889	-1.020	0.000	0.9612	0.8950	1
32884	39618	0.016	0.000	0.8789	0.7841	1
32884	39624	-0.986	0.000	0.8555	0.7413	1
32884	39648	-16.007	0.000	0.8697	0.8057	1
32884	39652	-17.030	0.000	0.8664	0.8116	1
32885	33711	-33.994	0.000	0.7454	0.3009	1
32885	35737	-144.022	0.000	0.7183	0.3085	1
32886	32911	-2.024	0.000	0.7698	0.6077	1
32886	32923	1933.916	0.000	0.7058	0.5717	1
32886	33091	-16.000	0.000	0.7920	0.6243	1
32886	33106	-16.996	0.000	0.8000	0.6460	1
