CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
5470	5494	-1.005	0.000	0.8638	0.8040	1
5473	5498	-0.999	0.000	0.8983	0.7925	1
5473	24402	0.991	0.000	0.7150	0.6143	1
5474	5499	-1.002	0.000	0.8743	0.7654	1
5474	5522	-2.010	0.000	0.7738	0.6775	1
5474	5656	-9.969	0.000	0.7968	0.5404	1
5474	5680	538.361	0.000	0.7885	0.5641	1
5474	5700	-11.979	0.000	0.7894	0.5343	1
5474	5791	-17.022	0.000	0.7674	0.5421	1
5474	5801	-18.024	0.000	0.7471	0.5376	1
5474	6311	-44.022	0.000	0.8473	0.6337	1
5474	6322	-45.027	0.000	0.8253	0.5534	1
5474	6342	-46.032	0.000	0.8387	0.5921	1
5474	6507	-53.994	0.000	0.8196	0.5937	1
5474	6530	-54.999	0.000	0.8164	0.5872	1
5474	6551	-56.001	0.000	0.7704	0.4967	1
5474	6625	-61.050	0.000	0.7470	0.5328	1
5474	6842	-71.019	0.000	0.7616	0.5496	1
5474	6860	-72.027	0.000	0.7306	0.4753	1
5474	7193	-88.047	0.000	0.8080	0.5572	1
5474	7451	-105.075	0.000	0.7651	0.5366	1
5474	7477	-106.080	0.000	0.8086	0.5653	1
5474	7675	-115.047	0.000	0.7168	0.4166	1
5474	8008	-132.075	0.000	0.8615	0.6142	1
5474	8027	-133.080	0.000	0.8028	0.5653	1
5474	8044	-134.082	0.000	0.8024	0.5908	1
5474	8228	-150.105	0.000	0.7415	0.5370	1
5474	8468	-160.074	0.000	0.7498	0.5074	1
5474	8512	-161.079	0.000	0.7569	0.5063	1
5474	8868	-176.103	0.000	0.7939	0.5579	1
5474	8884	-177.099	0.000	0.7618	0.5123	1
5474	9082	-186.072	0.000	0.7222	0.4137	1
5474	9691	-221.127	0.000	0.7956	0.5040	1
5474	10719	-264.150	0.000	0.7748	0.4936	1
5474	10749	-265.158	0.000	0.7598	0.4936	1
5474	11400	352.213	0.000	0.7276	0.5412	1
5474	12423	325.215	0.000	0.7729	0.5004	1
5474	12464	324.215	0.000	0.7627	0.5025	1
5474	13069	308.189	0.000	0.8141	0.5692	1
5474	13091	307.185	0.000	0.7331	0.5211	1
5474	13335	298.205	0.000	0.7026	0.4785	1
5474	13966	281.187	0.000	0.7393	0.5269	1
5474	14014	280.183	0.000	0.7789	0.5318	1
5474	14509	264.159	0.000	0.7752	0.5004	1
5474	14558	263.161	0.000	0.7671	0.5004	1
5474	16190	220.137	0.000	0.7730	0.5025	1
5474	16223	219.131	0.000	0.7315	0.4425	1
5474	17937	176.111	0.000	0.7698	0.4701	1
5474	17975	175.109	0.000	0.7644	0.4907	1
5474	19637	132.081	0.000	0.7603	0.5025	1
5474	19671	131.079	0.000	0.7974	0.5652	1
5477	5517	-1.016	0.000	0.8995	0.8137	1
5485	5863	-13.974	0.000	0.7565	0.4856	1
5485	5957	-17.028	0.000	0.9749	0.8808	1
5485	6018	-19.002	0.000	0.7375	0.4476	1
5485	6243	-27.000	0.000	0.9669	0.8451	1
5485	6272	-28.002	0.000	0.9075	0.6884	1
5485	6362	-31.004	0.000	0.8123	0.6248	1
5485	6643	-40.982	0.000	0.8161	0.5491	1
5485	6748	-44.026	0.000	0.9718	0.8400	1
5485	7181	-58.006	0.000	0.7895	0.5382	1
5485	7252	-61.052	0.000	0.8006	0.5906	1
5485	7502	-71.032	0.000	0.9245	0.7539	1
5485	7643	-75.030	0.000	0.8608	0.6180	1
5485	7937	-85.006	0.000	0.8792	0.6800	1
5485	8018	-88.052	0.000	0.9515	0.8021	1
5485	8044	-679.427	0.000	0.7586	0.5542	1
5485	8306	-102.032	0.000	0.7983	0.5497	1
5485	8409	-105.082	0.000	0.9432	0.7665	1
5485	8445	-106.082	0.000	0.9323	0.7649	1
5485	8801	-115.054	0.000	0.9243	0.7886	1
5485	8933	-119.060	0.000	0.8711	0.6576	1
5485	9176	-132.078	0.000	0.7995	0.5421	1
5485	9635	-146.058	0.000	0.8773	0.6778	1
5485	9763	-149.102	0.000	0.8990	0.7319	1
5485	10117	-159.078	0.000	0.9205	0.7609	1
5485	10147	-160.078	0.000	0.9113	0.7406	1
5485	10256	-163.082	0.000	0.7986	0.5957	1
5485	10733	-176.104	0.000	0.9306	0.7649	1
5485	11250	-190.082	0.000	0.7994	0.5285	1
5485	11400	-193.132	0.000	0.9065	0.7507	1
5485	12423	-220.130	0.000	0.7384	0.5767	1
5485	13069	-237.156	0.000	0.7309	0.5858	1
5485	14509	-281.186	0.000	0.7239	0.5890	1
5485	14558	-282.184	0.000	0.7199	0.5767	1
5485	15507	-308.186	0.000	0.7010	0.5651	1
5485	16190	-325.208	0.000	0.7126	0.5734	1
5485	16223	-326.214	0.000	0.7235	0.5767	1
5485	17937	-369.234	0.000	0.7178	0.5254	1
5485	17975	-370.236	0.000	0.7216	0.5734	1
5487	5504	-0.999	0.000	0.8556	0.7297	1
5489	5512	-1.002	0.000	0.9545	0.8596	1
5490	5513	-1.005	0.000	0.9031	0.8071	1
5491	5511	-0.990	0.000	0.8935	0.7952	1
5491	24447	0.002	0.000	0.7394	0.6700	1
5491	24470	-1.016	0.000	0.7250	0.6809	1
5497	5519	-1.002	0.000	0.9556	0.8835	1
5499	5522	-1.008	0.000	0.8577	0.7591	1
5499	5656	-8.967	0.000	0.7796	0.5365	1
5499	5680	539.363	0.000	0.7716	0.5827	1
5499	5700	-10.977	0.000	0.7367	0.4686	1
5499	5791	-16.020	0.000	0.7051	0.4995	1
5499	5801	-17.022	0.000	0.7160	0.5452	1
5499	6311	-43.020	0.000	0.8253	0.5952	1
5499	6322	-44.025	0.000	0.8220	0.6162	1
5499	6342	-45.030	0.000	0.8166	0.5347	1
5499	6507	-52.992	0.000	0.7976	0.5642	1
5499	6530	-53.997	0.000	0.7835	0.5665	1
5499	6551	-54.999	0.000	0.7434	0.4941	1
5499	6842	-70.017	0.000	0.7444	0.5327	1
5499	7193	-87.045	0.000	0.7538	0.4889	1
5499	7451	-104.073	0.000	0.7430	0.5041	1
5499	7477	-105.078	0.000	0.7490	0.4889	1
5499	7675	-114.045	0.000	0.7307	0.4855	1
5499	8008	-131.073	0.000	0.8299	0.5952	1
5499	8027	-132.078	0.000	0.8186	0.5966	1
5499	8044	-133.080	0.000	0.7787	0.5613	1
5499	8228	-149.103	0.000	0.7283	0.5347	1
5499	8468	-159.072	0.000	0.7135	0.5136	1
5499	8512	-160.077	0.000	0.7521	0.5344	1
5499	8868	-175.101	0.000	0.7748	0.5228	1
5499	8884	-176.097	0.000	0.7090	0.4439	1
5499	9691	-220.125	0.000	0.7835	0.4948	1
5499	10719	-263.148	0.000	0.7657	0.5069	1
5499	10749	-264.156	0.000	0.7602	0.4948	1
5499	12423	326.217	0.000	0.7643	0.4767	1
5499	12464	325.217	0.000	0.7119	0.4309	1
5499	13069	309.191	0.000	0.7975	0.5406	1
5499	13091	308.187	0.000	0.7267	0.5189	1
5499	13966	282.189	0.000	0.7463	0.5235	1
