CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
16399	16424	-0.999	0.000	0.9716	0.9273	1
16399	16458	-1.992	0.000	0.9363	0.8789	1
16405	16418	-1.008	0.000	0.9136	0.8092	1
16405	16440	-2.004	0.000	0.7344	0.6120	1
16407	16426	-1.000	0.000	0.9316	0.8395	1
16410	16446	-1424.262	0.000	0.9014	0.7772	1
16410	16461	-1425.266	0.000	0.8860	0.6820	1
16413	16453	-0.999	0.000	0.9146	0.8240	1
16413	16464	-2.001	0.000	0.8812	0.7591	1
16417	16456	-1.011	0.000	0.8566	0.7371	1
16418	16440	-0.996	0.000	0.8388	0.7708	1
16422	16457	-1.005	0.000	0.9226	0.8331	1
16422	17593	-42.012	0.000	0.8267	0.8009	1
16422	17614	-43.011	0.000	0.7565	0.7120	1
16424	16458	-0.993	0.000	0.9579	0.8802	1
16425	16460	-0.999	0.000	0.9602	0.9003	1
16425	16875	-16.032	0.000	0.8238	0.7476	1
16425	16931	-17.034	0.000	0.7796	0.6830	1
16436	24057	-202.058	0.000	0.8813	0.7050	1
16437	16472	-1.000	0.000	0.9525	0.8661	1
16444	16484	-0.996	0.000	0.9204	0.8451	1
16446	16461	-1.004	0.000	0.9477	0.8221	1
16447	16493	-0.992	0.000	0.9750	0.9319	1
16453	16464	-1.002	0.000	0.9493	0.8789	1
16455	16481	-1.005	0.000	0.9188	0.8880	1
16457	17593	-41.007	0.000	0.7530	0.7015	1
16457	17614	-42.006	0.000	0.8220	0.7641	1
16460	16875	-15.033	0.000	0.7566	0.6519	1
16460	16931	-16.035	0.000	0.8156	0.7449	1
16471	16517	-0.998	0.000	0.8804	0.6644	1
16473	16519	-1.006	0.000	0.7983	0.6108	1
16483	16507	-1.005	0.000	0.8884	0.6370	1
16486	16511	-1.002	0.000	0.8649	0.7305	1
16487	28926	-1.001	0.000	0.7887	0.6980	1
16500	32028	2.011	0.000	0.7654	0.6072	1
16500	32042	1.018	0.000	0.7742	0.6075	1
16500	32044	1.006	0.000	0.7288	0.5661	1
16500	32058	0.010	0.000	0.7639	0.6063	1
16506	16528	-1.002	0.000	0.9601	0.8745	1
16511	36319	18.026	0.000	0.7082	0.5872	1
16511	36330	17.034	0.000	0.7265	0.5414	1
16513	16534	-1.005	0.000	0.9520	0.8733	1
16518	16538	-1.012	0.000	0.9401	0.8677	1
16518	16555	-2.016	0.000	0.9275	0.8498	1
16521	16557	-0.990	0.000	0.8147	0.6725	1
16522	16569	-1.000	0.000	0.9793	0.9493	1
16523	16540	-1.000	0.000	0.9185	0.8466	1
16524	16579	-1.004	0.000	0.9323	0.8250	1
16525	16577	-0.984	0.000	0.8599	0.7161	1
16529	16562	-0.999	0.000	0.9545	0.9085	1
16530	16561	-0.990	0.000	0.8335	0.6731	1
16530	16599	-1.995	0.000	0.7512	0.5927	1
16535	16578	-1.002	0.000	0.9482	0.8649	1
16536	16537	-0.003	0.000	0.8281	0.6261	1
16536	16580	-0.996	0.000	0.9732	0.9270	1
16536	16606	-2.007	0.000	0.9298	0.8233	1
16536	16949	-14.016	0.000	0.7556	0.5913	1
