CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
34619	34630	-1.014	0.000	0.9402	0.8520	1
34619	34815	-17.022	0.000	0.8860	0.7403	1
34619	34825	-18.030	0.000	0.8826	0.7453	1
34619	34827	-18.033	0.000	0.7849	0.4793	1
34626	34683	-3.964	0.000	0.7688	0.6900	1
34626	34690	-4.976	0.000	0.7515	0.6839	1
34626	34803	-20.948	0.000	0.7463	0.6353	1
34626	34817	-21.960	0.000	0.7011	0.5503	1
34626	39838	18.018	0.000	0.8056	0.7631	1
34626	39841	17.034	0.000	0.7347	0.4775	1
34626	39842	17.013	0.000	0.8044	0.7637	1
34626	39844	16.032	0.000	0.7046	0.5126	1
34626	39847	16.017	0.000	0.7741	0.6570	1
34626	39850	2.031	0.000	0.7058	0.6016	1
34626	39852	0.993	0.000	0.7967	0.7511	1
34626	39853	-0.006	0.000	0.8010	0.7756	1
34626	39854	-1.002	0.000	0.7892	0.7412	1
34628	34646	-1.002	0.000	0.8733	0.7534	1
34629	34648	-0.999	0.000	0.9770	0.9550	1
34630	34815	-16.008	0.000	0.9209	0.8346	1
34630	34825	-17.016	0.000	0.9171	0.8309	1
34630	34827	-17.019	0.000	0.8070	0.5343	1
34632	35100	-42.012	0.000	0.7591	0.5080	1
34632	35650	-86.028	0.000	0.7431	0.6332	1
34632	35662	-87.030	0.000	0.8702	0.7794	1
34632	35678	-88.026	0.000	0.7613	0.6413	1
34643	34668	-0.998	0.000	0.9423	0.8314	1
34651	34654	-0.015	0.000	0.7923	0.5303	1
34651	34672	-1.017	0.000	0.7970	0.5324	1
34654	34672	-1.002	0.000	0.8507	0.7913	1
34655	34669	-0.990	0.000	0.8745	0.6341	1
34668	35232	-33.992	0.000	0.9035	0.7412	1
34668	35254	-35.002	0.000	0.8082	0.6704	1
34673	39310	-686.352	0.000	0.7258	0.6315	1
34679	34689	-1.008	0.000	0.9671	0.9166	1
34679	34697	-2.007	0.000	0.9692	0.9242	1
34679	34709	-3.012	0.000	0.9257	0.8789	1
34683	34690	-1.012	0.000	0.9270	0.8276	1
34683	34803	-16.984	0.000	0.8129	0.6947	1
34683	34817	-17.996	0.000	0.8548	0.7467	1
34683	34820	-18.996	0.000	0.8342	0.6481	1
34689	34697	-0.999	0.000	0.9518	0.9140	1
34689	34709	-2.004	0.000	0.9134	0.8610	1
34690	34803	-15.972	0.000	0.8035	0.7046	1
34690	34817	-16.984	0.000	0.8359	0.6940	1
34690	34820	-17.984	0.000	0.8150	0.6527	1
34693	34705	-1.002	0.000	0.8366	0.7553	1
34697	34709	-1.005	0.000	0.8600	0.7872	1
34707	34713	-1.004	0.000	0.9741	0.9359	1
