CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
12761	13234	-14.996	0.000	0.8061	0.6286	1
12761	13266	-16.004	0.000	0.8645	0.7218	1
12763	12775	-1.004	0.000	0.8789	0.7758	1
12764	12779	-0.988	0.000	0.8442	0.7439	1
12764	12795	-1.996	0.000	0.8150	0.6925	1
12766	12786	-1.005	0.000	0.9570	0.8825	1
12767	12787	-1.002	0.000	0.7956	0.5981	1
12769	12789	-0.999	0.000	0.7794	0.4653	1
12769	12790	-1.002	0.000	0.7801	0.5694	1
12769	12806	-2.001	0.000	0.7417	0.4598	1
12770	12791	-1.002	0.000	0.7900	0.6825	1
12770	12809	-663.349	0.000	0.7710	0.6161	1
12771	12792	-1.002	0.000	0.9465	0.8450	1
12771	12814	-1.998	0.000	0.9545	0.8642	1
12778	12813	-1.004	0.000	0.8506	0.7515	1
12779	12795	-1.008	0.000	0.9035	0.8134	1
12780	12823	-1.018	0.000	0.8147	0.6993	1
12782	12798	-1.008	0.000	0.8202	0.7006	1
12783	12797	-0.996	0.000	0.7542	0.6439	1
12788	12802	-0.990	0.000	0.9630	0.8972	1
12789	12790	-0.003	0.000	0.8320	0.5071	1
12789	12806	-1.002	0.000	0.8794	0.7049	1
12790	12806	-0.999	0.000	0.7564	0.4459	1
12791	12809	-662.347	0.000	0.8380	0.7296	1
12792	12814	-0.996	0.000	0.9390	0.8612	1
12793	12824	-0.999	0.000	0.8004	0.7129	1
12794	12810	1321.650	0.000	0.9462	0.8653	1
12794	12844	-2.012	0.000	0.9527	0.8970	1
12797	12828	-1.008	0.000	0.8117	0.7079	1
12799	12836	-1.000	0.000	0.9220	0.8184	1
12799	12852	-1.996	0.000	0.7532	0.6568	1
12801	12853	-1.014	0.000	0.9274	0.8527	1
12801	13420	-28.035	0.000	0.7478	0.6520	1
12801	13452	-29.037	0.000	0.7553	0.6604	1
12810	12844	-1323.662	0.000	0.9434	0.8719	1
12811	12843	-1.000	0.000	0.9565	0.9012	1
12812	12858	-0.999	0.000	0.9482	0.8800	1
12812	12891	-2.004	0.000	0.8769	0.6834	1
12812	13296	-22.980	0.000	0.7569	0.6049	1
12817	12818	0.000	0.000	0.9645	0.8495	1
12817	12877	-1.002	0.000	0.9461	0.8495	1
12818	12877	-1.002	0.000	0.9756	0.8981	1
12827	12846	-0.996	0.000	0.8670	0.8015	1
12827	12878	-2.000	0.000	0.7841	0.7432	1
12828	12849	-0.996	0.000	0.8226	0.6651	1
12832	12863	-0.999	0.000	0.8710	0.7767	1
12834	12865	-0.999	0.000	0.9200	0.8169	1
12834	33997	-1.005	0.000	0.7199	0.6931	1
12835	12842	-1.005	0.000	0.9386	0.8752	1
12835	12872	-1.995	0.000	0.9220	0.8432	1
12835	12886	-2.990	0.000	0.8969	0.7967	1
12835	12887	-3.010	0.000	0.8300	0.6572	1
12835	24916	0.008	0.000	0.7555	0.7335	1
12835	24930	-1.000	0.000	0.7618	0.7465	1
12835	24939	-2.000	0.000	0.7656	0.7283	1
12835	24959	-2.996	0.000	0.7354	0.7133	1
12835	25224	-18.028	0.000	0.7599	0.7308	1
12835	25245	-19.024	0.000	0.7215	0.6537	1
12835	25533	-35.996	0.000	0.7040	0.6322	1
12835	25571	-36.980	0.000	0.7046	0.6230	1
12836	12852	-0.996	0.000	0.8898	0.8153	1
12841	12885	-2.005	0.000	0.7061	0.5989	1
12842	12872	-0.990	0.000	0.8986	0.8164	1
