CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
18227	18273	-1.012	0.000	0.9020	0.7565	1
18228	18229	-0.002	0.000	0.8229	0.5957	1
18228	26637	-239.130	0.000	0.7019	0.5930	1
18233	18263	-2.005	0.000	0.8070	0.6747	1
18236	18546	-11.013	0.000	0.8923	0.7636	1
18240	18274	-0.999	0.000	0.9525	0.9154	1
18240	18299	-2.004	0.000	0.8615	0.7859	1
18241	18269	-0.999	0.000	0.9547	0.9191	1
18242	18275	-1.017	0.000	0.9149	0.8057	1
18243	18276	-1.005	0.000	0.9336	0.8415	1
18247	37344	2.004	0.000	0.7672	0.5933	1
18247	37358	1.010	0.000	0.8006	0.6711	1
18247	37369	0.008	0.000	0.7647	0.6590	1
18251	18284	-1.005	0.000	0.9032	0.8067	1
18251	18305	-2.004	0.000	0.8607	0.7705	1
18252	18289	-0.999	0.000	0.9662	0.9050	1
18254	18293	-0.990	0.000	0.8530	0.7357	1
18258	18282	-1.000	0.000	0.9408	0.8468	1
18258	20606	-128.092	0.000	0.7156	0.6552	1
18266	18312	-0.998	0.000	0.9514	0.8876	1
18268	18312	-0.996	0.000	0.7064	0.4737	1
18270	18314	-0.996	0.000	0.8976	0.7511	1
18274	18299	-1.005	0.000	0.9043	0.8067	1
18280	18301	-1.002	0.000	0.9568	0.9132	1
18283	18320	-0.998	0.000	0.9594	0.9023	1
18283	21010	-73.068	0.000	0.7477	0.5601	1
18284	18305	-0.999	0.000	0.8635	0.7601	1
18291	18306	-0.981	0.000	0.8141	0.6302	1
18295	18315	-1.004	0.000	0.9088	0.8334	1
18295	18330	-1.968	0.000	0.7632	0.6642	1
18298	18326	-1.005	0.000	0.9373	0.8918	1
18315	18330	-0.964	0.000	0.7303	0.6125	1
18320	21062	-73.072	0.000	0.7950	0.6632	1
18325	18355	-1.008	0.000	0.9451	0.8849	1
18344	18381	-1.011	0.000	0.9685	0.9112	1
18344	18410	-2.001	0.000	0.8812	0.7506	1
18348	18353	-1470.742	0.000	0.7261	0.5304	1
18353	32970	33.027	0.000	0.7098	0.5092	1
18353	33233	992.505	0.000	0.7033	0.4563	1
18353	33509	1.002	0.000	0.7033	0.4487	1
18356	18382	-1.008	0.000	0.9088	0.7941	1
18361	21200	-77.048	0.000	0.7795	0.6338	1
18361	21664	-89.988	0.000	0.7069	0.6219	1
18361	21714	-91.068	0.000	0.7148	0.5687	1
18361	26441	-229.044	0.000	0.8082	0.7341	1
18364	18386	-1.005	0.000	0.8927	0.8340	1
18368	18404	-1.002	0.000	0.9533	0.8647	1
18369	18370	-0.004	0.000	0.8169	0.4975	1
18369	18402	-1.008	0.000	0.9255	0.8033	1
18369	18951	-16.998	0.000	0.7364	0.5968	1
18370	18402	-1.004	0.000	0.8107	0.5112	1
18370	18951	-16.994	0.000	0.7403	0.4360	1
18378	18405	-1.002	0.000	0.9478	0.8908	1
18378	18419	-1.980	0.000	0.8147	0.7231	1
18379	18407	-0.999	0.000	0.9397	0.8796	1
18381	18410	-0.990	0.000	0.9085	0.7998	1
18383	18413	-0.999	0.000	0.8594	0.8043	1
18396	33531	2.009	0.000	0.7061	0.5643	1
18396	33546	1.016	0.000	0.7471	0.6186	1
18396	33560	0.017	0.000	0.7154	0.6038	1
18396	33562	0.005	0.000	0.7159	0.5512	1
18399	18942	-16.004	0.000	0.8494	0.7278	1
18402	18951	-15.990	0.000	0.8337	0.7286	1
18402	19002	-16.982	0.000	0.7660	0.6365	1
18405	18419	-0.978	0.000	0.8432	0.7757	1
18406	18427	-1.005	0.000	0.9642	0.9099	1
18409	18425	-0.978	0.000	0.8993	0.8296	1
18409	18461	-1.977	0.000	0.8067	0.7480	1
18416	18450	-1.005	0.000	0.9363	0.8964	1
18420	18457	-1.002	0.000	0.9431	0.8570	1
18422	18460	-1.014	0.000	0.8675	0.7941	1
18422	18493	-2.034	0.000	0.8109	0.7396	1
18423	18473	-1.004	0.000	0.9783	0.9323	1
18425	18461	-0.999	0.000	0.9369	0.8961	1
18425	18834	-18.039	0.000	0.8615	0.7562	1
18425	19398	-41.028	0.000	0.7045	0.6393	1
18432	18462	-0.996	0.000	0.9178	0.8311	1
18435	18436	0.004	0.000	0.8919	0.7039	1
18435	18477	-1.000	0.000	0.9726	0.9509	1
18436	18477	-1.004	0.000	0.8363	0.6267	1
18439	18445	-0.021	0.000	0.7494	0.5456	1
18439	18469	-1.017	0.000	0.7342	0.5563	1
18440	18468	-0.987	0.000	0.7859	0.7615	1
18441	18481	-0.996	0.000	0.8976	0.7630	1
18445	18469	-0.996	0.000	0.9309	0.8449	1
18446	18483	-0.992	0.000	0.9609	0.8853	1
18452	18453	0.004	0.000	0.8327	0.5411	1
18452	18490	-1.000	0.000	0.9385	0.8622	1
18453	18490	-1.004	0.000	0.8204	0.5386	1
18460	18493	-1.020	0.000	0.9156	0.8880	1
18461	18834	-17.040	0.000	0.9015	0.7715	1
18461	19419	-41.031	0.000	0.7108	0.5626	1
18463	18497	-1.008	0.000	0.9138	0.8305	1
18463	18526	-2.019	0.000	0.7501	0.7294	1
18466	18494	-0.984	0.000	0.9142	0.8779	1
18466	18515	-1.983	0.000	0.7285	0.6733	1
18480	18940	-14.016	0.000	0.8725	0.7898	1
18486	18508	-0.996	0.000	0.9529	0.8603	1
18491	18511	-0.981	0.000	0.8956	0.8167	1
18494	18515	-0.999	0.000	0.9386	0.8760	1
18494	18548	-2.004	0.000	0.8115	0.6756	1
18495	18521	-0.999	0.000	0.7711	0.7176	1
18497	18526	-1.011	0.000	0.8667	0.8121	1
18500	18501	-0.003	0.000	0.7637	0.4987	1
18500	18527	-0.996	0.000	0.8941	0.8410	1
18501	18527	-0.993	0.000	0.7580	0.5361	1
18503	18520	736.398	0.000	0.7353	0.6430	1
18503	18553	-1.983	0.000	0.7549	0.6857	1
18510	18546	-0.996	0.000	0.8084	0.5603	1
18512	18560	-1.006	0.000	0.9096	0.7388	1
18515	18548	-1.005	0.000	0.8308	0.7223	1
18520	18564	-0.994	0.000	0.7185	0.5997	1
18531	18568	-1.008	0.000	0.9302	0.8631	1
18538	18539	-0.004	0.000	0.9157	0.7505	1
18538	18572	-1.000	0.000	0.9687	0.8883	1
18539	18572	-0.996	0.000	0.9014	0.7729	1
18547	18581	-1.002	0.000	0.9444	0.8925	1
18547	18592	-1.989	0.000	0.8134	0.7424	1
18552	18584	-1.005	0.000	0.9677	0.9123	1
18552	18604	-2.010	0.000	0.9217	0.8664	1
18559	18578	-0.975	0.000	0.9062	0.8081	1
18569	18611	-0.990	0.000	0.8650	0.6367	1
18569	18614	-1.002	0.000	0.9708	0.9291	1
18571	18620	1474.802	0.000	0.9359	0.8478	1
18581	18592	-0.987	0.000	0.8526	0.7683	1
18582	18593	-0.999	0.000	0.9492	0.8599	1
18584	18604	-1.005	0.000	0.9031	0.8146	1
18585	18605	-1.005	0.000	0.9694	0.9174	1
