CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
30975	30977	-0.988	0.000	0.9030	0.7771	1
30975	30989	1856.012	0.000	0.7277	0.6129	1
30977	30989	1857.000	0.000	0.7552	0.6276	1
30978	30999	-0.999	0.000	0.9666	0.9183	1
30978	31019	-2.016	0.000	0.9377	0.8353	1
30982	31014	-1.008	0.000	0.9816	0.9583	1
30985	30986	0.000	0.000	0.8153	0.5387	1
30990	31311	-21.968	0.000	0.7016	0.6578	1
30991	31003	-1.018	0.000	0.7955	0.7286	1
30991	31011	-2.002	0.000	0.8971	0.8627	1
30991	31018	-3.018	0.000	0.8622	0.7772	1
30991	31035	-3.982	0.000	0.8692	0.8112	1
30992	31028	-0.994	0.000	0.9603	0.8906	1
30993	31023	-0.978	0.000	0.7060	0.4322	1
30994	31029	-1.006	0.000	0.8901	0.8482	1
30994	31429	-16.024	0.000	0.8896	0.6770	1
30994	31430	-16.026	0.000	0.8469	0.7368	1
30994	31450	-17.032	0.000	0.8614	0.7267	1
30994	31583	-21.986	0.000	0.7149	0.4970	1
30999	31019	-1.017	0.000	0.9378	0.8452	1
30999	39186	342.191	0.000	0.7003	0.6991	1
31003	31011	-0.984	0.000	0.9132	0.8896	1
31003	31018	-2.000	0.000	0.8559	0.7431	1
31003	31035	-2.965	0.000	0.8945	0.8155	1
31003	31044	-3.992	0.000	0.7059	0.5909	1
31003	31051	-4.986	0.000	0.7758	0.6691	1
31004	31048	-2.001	0.000	0.9435	0.9080	1
31011	31018	-1.016	0.000	0.9135	0.8118	1
31011	31035	-1.980	0.000	0.9351	0.8917	1
31011	31044	-3.008	0.000	0.7231	0.6379	1
31011	31051	-4.002	0.000	0.7399	0.6237	1
31018	31035	-0.964	0.000	0.9338	0.8680	1
31018	31044	-1.992	0.000	0.7200	0.6290	1
31018	31051	-2.986	0.000	0.7286	0.5648	1
31026	31047	-1.011	0.000	0.8855	0.7912	1
31026	31060	-2.052	0.000	0.8800	0.8108	1
31029	31429	-15.018	0.000	0.7997	0.6555	1
31029	31430	-15.020	0.000	0.7203	0.5623	1
31029	31450	-16.026	0.000	0.8421	0.6876	1
31033	31057	-2.020	0.000	0.8713	0.8149	1
31035	31044	-1.027	0.000	0.7363	0.6225	1
31035	31051	-2.021	0.000	0.7688	0.6295	1
31044	31051	-0.994	0.000	0.7155	0.5987	1
31047	31060	-1.041	0.000	0.8961	0.8242	1
31068	31094	-1.989	0.000	0.8269	0.7457	1
31084	31097	-0.999	0.000	0.8445	0.6497	1
31084	31111	-2.010	0.000	0.8102	0.6092	1
31090	31115	-0.998	0.000	0.9207	0.8127	1
31096	31104	-1.008	0.000	0.9377	0.8617	1
31097	31111	-1.011	0.000	0.9481	0.8885	1
31100	31101	-0.003	0.000	0.8149	0.6529	1
31100	31125	-1.008	0.000	0.8565	0.8066	1
31101	31125	-1.005	0.000	0.7490	0.6111	1
31119	31140	-0.975	0.000	0.9543	0.8946	1
31119	31157	-2.010	0.000	0.7322	0.6359	1
31119	31437	-17.016	0.000	0.8510	0.7474	1
31119	31460	-18.024	0.000	0.8816	0.7678	1
31119	31471	-19.011	0.000	0.8614	0.7721	1
31121	31137	-1.008	0.000	0.9527	0.9008	1
31128	31158	-1.000	0.000	0.9732	0.9335	1
31131	31165	-0.990	0.000	0.9656	0.9063	1
31131	33234	-85.050	0.000	0.7771	0.6841	1
31131	33252	-86.044	0.000	0.7059	0.6034	1
31140	31157	-1.035	0.000	0.7845	0.6340	1
31140	31437	-16.041	0.000	0.8788	0.7468	1
31140	31460	-17.049	0.000	0.8954	0.7546	1
31140	31471	-18.036	0.000	0.8713	0.7420	1
31148	31174	-0.999	0.000	0.7555	0.6779	1
31157	31437	-15.006	0.000	0.7485	0.6669	1
31157	31460	-16.014	0.000	0.7446	0.6749	1
31157	31471	-17.001	0.000	0.7439	0.6718	1
31159	31194	-1.002	0.000	0.9410	0.8787	1
31159	31196	-1.002	0.000	0.7542	0.4670	1
31159	31223	-1.992	0.000	0.8734	0.8157	1
31159	31245	-2.994	0.000	0.7634	0.6662	1
31162	31187	-0.992	0.000	0.9299	0.8726	1
31162	31208	-1.988	0.000	0.9392	0.8702	1
31162	31425	-18.012	0.000	0.9247	0.8470	1
31162	39328	1.008	0.000	0.7644	0.5442	1
31162	39333	0.012	0.000	0.7959	0.6175	1
31162	39334	0.009	0.000	0.7858	0.6714	1
31162	39341	-0.993	0.000	0.8015	0.7074	1
31162	39346	-1.986	0.000	0.7813	0.6929	1
31162	39353	-2.994	0.000	0.7691	0.6815	1
31164	31210	-0.980	0.000	0.7982	0.5962	1
31164	31251	-1.980	0.000	0.7630	0.5449	1
31165	33252	-85.054	0.000	0.7747	0.6952	1
31167	31216	-1.004	0.000	0.9459	0.8699	1
31175	31176	-0.033	0.000	0.7255	0.4173	1
31178	39344	-1865.974	0.000	0.7385	0.7332	1
31181	31203	-1.008	0.000	0.8838	0.6652	1
31184	31199	-0.943	0.000	0.7285	0.6309	1
31187	31208	-0.996	0.000	0.9578	0.9031	1
31187	31425	-17.020	0.000	0.9309	0.8367	1
31187	39328	2.000	0.000	0.7925	0.5420	1
31187	39333	1.004	0.000	0.8393	0.6394	1
31187	39334	1.001	0.000	0.8602	0.7554	1
31187	39341	-0.001	0.000	0.8717	0.8126	1
31187	39346	-0.994	0.000	0.8564	0.7913	1
31187	39353	-2.002	0.000	0.8427	0.7953	1
31194	31196	0.000	0.000	0.7752	0.4920	1
31194	31223	-0.990	0.000	0.8523	0.8130	1
31194	31245	-1.992	0.000	0.8323	0.7508	1
31195	31224	-0.990	0.000	0.9361	0.8546	1
31195	31247	-1.998	0.000	0.9048	0.8136	1
31198	31227	-1.008	0.000	0.8151	0.7485	1
31201	31232	-1.002	0.000	0.9508	0.9031	1
31208	31425	-16.024	0.000	0.9355	0.8437	1
31208	39328	2.996	0.000	0.7836	0.5474	1
31208	39333	2.000	0.000	0.8244	0.6362	1
31208	39334	1.997	0.000	0.8330	0.7494	1
31208	39341	0.995	0.000	0.8491	0.8026	1
31208	39346	0.002	0.000	0.8370	0.8032	1
31208	39353	-1.006	0.000	0.7882	0.7449	1
31210	31251	-1.000	0.000	0.9652	0.9128	1
31210	31791	-21.984	0.000	0.7300	0.6355	1
31211	31253	-1.000	0.000	0.9736	0.9104	1
31215	31228	-1866.964	0.000	0.7501	0.5596	1
31215	31242	-1867.912	0.000	0.7233	0.5308	1
31215	31260	-1868.864	0.000	0.8464	0.6748	1
31215	31350	-1880.924	0.000	0.7189	0.4320	1
31215	31369	924.502	0.000	0.7384	0.4407	1
31215	31380	1859.954	0.000	0.7065	0.5114	1
31215	31514	-1901.970	0.000	0.7338	0.5387	1
31223	31245	-1.002	0.000	0.8530	0.7548	1
31224	31247	-1.008	0.000	0.9434	0.8443	1
31228	31242	-0.948	0.000	0.8077	0.6250	1
31228	31260	-1.900	0.000	0.7750	0.6011	1
31228	31350	-13.960	0.000	0.7355	0.5248	1
31228	31514	-35.006	0.000	0.7149	0.5287	1
31229	31264	-0.996	0.000	0.9628	0.9202	1
31229	31265	-0.993	0.000	0.8062	0.6320	1
31237	31238	-0.006	0.000	0.8721	0.6325	1
31242	31260	-0.952	0.000	0.7702	0.5872	1
31242	31350	-13.012	0.000	0.7154	0.5166	1
31248	32813	-99.033	0.000	0.7648	0.7057	1
31248	33112	-116.046	0.000	0.7396	0.6926	1
31251	31811	-21.990	0.000	0.7756	0.6884	1
31260	31514	-33.106	0.000	0.7271	0.5676	1
31262	31276	-0.996	0.000	0.9478	0.9190	1
31264	31265	0.003	0.000	0.8459	0.6955	1
31273	31293	-1.004	0.000	0.9111	0.7616	1
31278	31291	-1.016	0.000	0.8769	0.8091	1
31282	31295	-0.996	0.000	0.9414	0.8963	1
31285	31308	-1.000	0.000	0.9257	0.8188	1
