CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
27332	27346	-0.999	0.000	0.9576	0.9079	1
27332	27509	-7.992	0.000	0.7419	0.6588	1
27332	27664	-16.017	0.000	0.7589	0.6925	1
27332	27685	-17.031	0.000	0.8238	0.7825	1
27339	27340	0.012	0.000	0.8383	0.6088	1
27339	27355	-0.988	0.000	0.9432	0.8939	1
27339	27634	-17.048	0.000	0.7814	0.6213	1
27339	38368	1.985	0.000	0.7305	0.6975	1
27339	38377	0.995	0.000	0.7394	0.7347	1
27339	38384	-0.004	0.000	0.7363	0.6560	1
27339	38385	-0.001	0.000	0.7682	0.7471	1
27340	27355	-1.000	0.000	0.8654	0.6447	1
27340	27361	863.438	0.000	0.7417	0.5823	1
27340	27634	-17.060	0.000	0.7599	0.5025	1
27340	38377	0.983	0.000	0.7183	0.5516	1
27340	38384	-0.016	0.000	0.7118	0.5712	1
27342	27353	-0.976	0.000	0.8202	0.7251	1
27345	27373	-0.987	0.000	0.8740	0.6679	1
27345	27393	-2.016	0.000	0.8276	0.6761	1
27349	27352	0.006	0.000	0.7465	0.5606	1
27349	27377	-0.999	0.000	0.9730	0.9445	1
27349	27379	-0.996	0.000	0.7436	0.5600	1
27349	27395	-1.998	0.000	0.9433	0.8909	1
27351	27378	-1.005	0.000	0.9867	0.9404	1
27352	27377	-1.005	0.000	0.7621	0.5680	1
27352	27379	-1.002	0.000	0.7882	0.6084	1
27352	27395	-2.004	0.000	0.7444	0.5791	1
27355	27361	864.438	0.000	0.7384	0.5782	1
27355	27634	-16.060	0.000	0.8220	0.7141	1
27355	38368	2.973	0.000	0.7025	0.6967	1
27355	38377	1.983	0.000	0.7443	0.7212	1
27355	38384	0.984	0.000	0.7265	0.6766	1
27355	38385	0.987	0.000	0.7529	0.7202	1
27356	27380	-1.002	0.000	0.9685	0.9374	1
27356	27401	-2.007	0.000	0.9461	0.8799	1
27356	27701	-17.034	0.000	0.8171	0.6761	1
27356	27713	-18.030	0.000	0.9452	0.8434	1
27356	27730	-19.023	0.000	0.9113	0.7997	1
27356	27747	-20.034	0.000	0.8489	0.7681	1
27364	27365	-0.004	0.000	0.7355	0.5102	1
27368	27371	-0.976	0.000	0.9614	0.9187	1
27368	29608	-156.096	0.000	0.7010	0.5884	1
27369	27384	-0.993	0.000	0.9310	0.8626	1
27371	34201	468.296	0.000	0.7940	0.6681	1
27371	34410	451.259	0.000	0.7026	0.5768	1
27371	37924	76.022	0.000	0.7862	0.7573	1
27373	27393	-1.029	0.000	0.8434	0.6360	1
27377	27379	0.003	0.000	0.7781	0.5887	1
27377	27395	-0.999	0.000	0.8725	0.8115	1
27379	27395	-1.002	0.000	0.7102	0.5621	1
27380	27401	-1.005	0.000	0.9546	0.8988	1
27380	27701	-16.032	0.000	0.8461	0.7376	1
27380	27713	-17.028	0.000	0.9534	0.8675	1
27380	27730	-18.021	0.000	0.9172	0.8064	1
27380	27747	-19.032	0.000	0.8650	0.7974	1
27380	36664	-627.318	0.000	0.7369	0.6937	1
27386	27429	-1.002	0.000	0.9246	0.8410	1
27389	27440	-1.006	0.000	0.9657	0.9202	1
27389	27875	-17.016	0.000	0.8108	0.6572	1
27389	27898	-18.028	0.000	0.7849	0.6246	1
27401	27701	-15.027	0.000	0.8099	0.7045	1
27401	27713	-16.023	0.000	0.9362	0.8573	1
27401	27730	-17.016	0.000	0.9038	0.8109	1
27401	27747	-18.027	0.000	0.8734	0.8136	1
27401	36680	-627.288	0.000	0.7307	0.6518	1
27415	27447	-0.999	0.000	0.9826	0.9558	1
27433	27442	-0.996	0.000	0.9533	0.8821	1
27433	27460	-2.004	0.000	0.9436	0.8893	1
27435	27445	-1.008	0.000	0.9156	0.8466	1
27435	27465	-2.032	0.000	0.7930	0.7077	1
27439	27466	-0.998	0.000	0.8743	0.7388	1
27440	27875	-16.010	0.000	0.8143	0.6386	1
27440	27898	-17.022	0.000	0.7943	0.6359	1
27442	27460	-1.008	0.000	0.9647	0.9316	1
27445	27465	-1.024	0.000	0.8110	0.7097	1
27456	27478	-1.004	0.000	0.9088	0.7985	1
27458	27481	-1.010	0.000	0.9454	0.8288	1
27458	27852	-15.012	0.000	0.8301	0.6990	1
27458	27892	-16.012	0.000	0.7547	0.6127	1
27459	27490	-1.010	0.000	0.8892	0.8004	1
27467	27477	-1.020	0.000	0.9096	0.8280	1
27467	27492	-2.015	0.000	0.9223	0.8427	1
27470	27512	-1.998	0.000	0.7414	0.5651	1
27477	27492	-0.995	0.000	0.9264	0.8838	1
27481	27852	-14.002	0.000	0.7860	0.7370	1
27481	27892	-15.002	0.000	0.8800	0.8096	1
27486	27512	-0.978	0.000	0.8425	0.7699	1
27487	27507	-1.008	0.000	0.9203	0.8375	1
27501	27517	-1.002	0.000	0.9629	0.9113	1
27501	27541	-2.001	0.000	0.8171	0.6683	1
27502	27529	-1.002	0.000	0.9630	0.9044	1
27502	27574	-1.996	0.000	0.7812	0.6787	1
27509	27664	-8.025	0.000	0.7061	0.6525	1
27509	27685	-9.039	0.000	0.7578	0.6751	1
27510	27537	-1.017	0.000	0.9154	0.8503	1
27517	27541	-0.999	0.000	0.7859	0.6664	1
27519	27549	-2.000	0.000	0.8623	0.7186	1
27519	27572	-3.010	0.000	0.8176	0.6678	1
27519	36956	-3.004	0.000	0.7094	0.6242	1
27524	27562	-1.006	0.000	0.9317	0.8047	1
27526	27573	-1.010	0.000	0.9358	0.8782	1
27529	27574	-0.994	0.000	0.7784	0.6274	1
27533	27577	-1.004	0.000	0.9623	0.8967	1
27534	27547	-1.005	0.000	0.9487	0.8979	1
27536	27551	-1.005	0.000	0.9257	0.8346	1
27536	27581	-2.001	0.000	0.9113	0.8580	1
27540	27575	-1.011	0.000	0.8667	0.7718	1
27549	27572	-1.010	0.000	0.9063	0.8295	1
27549	36956	-1.004	0.000	0.7206	0.6119	1
27551	27581	-0.996	0.000	0.9324	0.8417	1
27564	27584	-0.996	0.000	0.9711	0.9263	1
27564	27607	-1.992	0.000	0.9383	0.9041	1
27564	33085	-312.210	0.000	0.7635	0.7164	1
27564	33097	-313.212	0.000	0.7027	0.6434	1
27567	35779	-1.022	0.000	0.7079	0.6068	1
27569	27587	-0.987	0.000	0.7821	0.6518	1
27583	27602	-1.002	0.000	0.9754	0.9396	1
27583	27623	-2.001	0.000	0.7834	0.6458	1
27584	27607	-0.996	0.000	0.9535	0.9095	1
27584	33085	-311.214	0.000	0.7175	0.6559	1
27584	33097	-312.216	0.000	0.8276	0.7739	1
27587	27609	-0.999	0.000	0.8264	0.6724	1
27587	27610	-1.005	0.000	0.8626	0.7071	1
27588	28952	-70.026	0.000	0.7039	0.6640	1
27588	28971	-71.037	0.000	0.8215	0.7611	1
27590	27611	-1.011	0.000	0.9460	0.8550	1
27590	27639	-2.016	0.000	0.9275	0.8431	1
27595	27612	-0.984	0.000	0.8002	0.7516	1
27598	27613	-1736.865	0.000	0.8602	0.8045	1
27598	27627	-1737.865	0.000	0.7602	0.6526	1
27600	27618	-1.008	0.000	0.9531	0.8584	1
27601	27619	-1.005	0.000	0.9242	0.8432	1
27601	27621	-1.011	0.000	0.7335	0.4965	1
27602	27623	-0.999	0.000	0.7808	0.6675	1
27602	33297	-324.225	0.000	0.7799	0.7156	1
27604	27626	-1.008	0.000	0.9010	0.7749	1
27607	33097	-311.220	0.000	0.7332	0.6521	1
27609	27610	-0.006	0.000	0.9081	0.7208	1
27611	27639	-1.005	0.000	0.9609	0.9166	1
27613	27627	-1.000	0.000	0.8992	0.8024	1
27616	27653	867.386	0.000	0.7103	0.4454	1
27619	27621	-0.006	0.000	0.7210	0.4862	1
27626	28425	-41.994	0.000	0.7313	0.6572	1
27641	27653	-0.990	0.000	0.8632	0.5561	1
27644	27656	-1.005	0.000	0.9442	0.8856	1
27644	27666	-2.001	0.000	0.9210	0.8311	1
27645	27657	-1.002	0.000	0.9768	0.9471	1
27645	27669	-1.998	0.000	0.8996	0.8340	1
27655	27664	-1.014	0.000	0.7363	0.6192	1
27656	27666	-0.996	0.000	0.9477	0.8699	1
27657	27669	-0.996	0.000	0.9038	0.8407	1
27664	27685	-1.014	0.000	0.8916	0.8063	1
27690	27707	-1.006	0.000	0.9663	0.9091	1
27698	27710	-0.999	0.000	0.9464	0.8426	1
27698	27727	-2.016	0.000	0.9050	0.7675	1
27698	28018	-18.027	0.000	0.9146	0.7760	1
27698	28039	-19.032	0.000	0.7969	0.5605	1
27698	28045	-19.047	0.000	0.8716	0.7716	1
27701	27713	-0.996	0.000	0.8707	0.7946	1
27701	27730	-1.989	0.000	0.8361	0.7430	1
27701	27747	-3.000	0.000	0.7830	0.6875	1
27710	27727	-1.017	0.000	0.9083	0.7869	1
27710	28018	-17.028	0.000	0.9209	0.8104	1
27710	28039	-18.033	0.000	0.7844	0.5604	1
27710	28045	-18.048	0.000	0.8744	0.7708	1
27712	27726	-0.999	0.000	0.8927	0.7419	1
27712	27744	-2.001	0.000	0.8808	0.7491	1
27713	27730	-0.993	0.000	0.9383	0.8450	1
27713	27747	-2.004	0.000	0.8664	0.7621	1
27717	27731	-0.999	0.000	0.9739	0.9320	1
27717	27749	-2.001	0.000	0.9459	0.9013	1
27719	27720	-0.010	0.000	0.7976	0.5434	1
27726	27744	-1.002	0.000	0.8753	0.7674	1
27727	28018	-16.011	0.000	0.8688	0.7373	1
27727	28039	-17.016	0.000	0.7876	0.5756	1
27727	28045	-17.031	0.000	0.8380	0.7096	1
27730	27747	-1.011	0.000	0.8486	0.7906	1
27731	27749	-1.002	0.000	0.9548	0.9134	1
27732	27746	-0.996	0.000	0.9332	0.8469	1
27732	27761	-2.001	0.000	0.9016	0.7966	1
27732	29314	-980.552	0.000	0.7472	0.6384	1
27738	27750	-1.012	0.000	0.9541	0.9019	1
27740	27767	-1.006	0.000	0.9554	0.9299	1
27745	27756	-0.999	0.000	0.9473	0.8854	1
27745	27759	-0.993	0.000	0.8498	0.7468	1
27745	27778	-2.010	0.000	0.9688	0.9243	1
27745	28016	-15.018	0.000	0.7700	0.6442	1
27745	30663	-153.003	0.000	0.7434	0.6192	1
27746	27761	-1.005	0.000	0.9081	0.8180	1
27746	29314	-979.556	0.000	0.7616	0.6170	1
27754	27773	-1.005	0.000	0.7989	0.7314	1
27755	27786	-1.020	0.000	0.9681	0.9153	1
27756	27775	-0.993	0.000	0.8387	0.7401	1
27756	27778	-1.011	0.000	0.9181	0.8373	1
27756	28016	-14.019	0.000	0.8556	0.6982	1
27756	30663	-152.004	0.000	0.8460	0.7220	1
27756	30677	-152.991	0.000	0.7664	0.6371	1
27757	27759	-0.018	0.000	0.7343	0.4279	1
27757	27775	-1.017	0.000	0.8087	0.5021	1
27759	27775	-0.999	0.000	0.8858	0.7523	1
27761	29314	-978.551	0.000	0.7408	0.5911	1
27762	27768	-1.008	0.000	0.9345	0.8596	1
27762	38506	0.001	0.000	0.7566	0.6809	1
27762	38510	-0.995	0.000	0.7171	0.6979	1
27768	38506	1.009	0.000	0.7559	0.6285	1
27768	38510	0.013	0.000	0.7004	0.6429	1
27770	27788	-0.984	0.000	0.7008	0.5734	1
27778	28016	-13.008	0.000	0.7678	0.5976	1
27778	30663	-150.993	0.000	0.7768	0.6306	1
27778	30677	-151.980	0.000	0.7811	0.7182	1
27779	27794	-0.993	0.000	0.9460	0.8473	1
27780	27790	-0.995	0.000	0.9568	0.9138	1
27780	27799	-1.995	0.000	0.9358	0.8711	1
27780	27977	-18.030	0.000	0.9464	0.8953	1
27780	28035	-22.985	0.000	0.7477	0.6923	1
27782	27783	0.012	0.000	0.7462	0.4633	1
27782	27797	-1.004	0.000	0.9355	0.8812	1
27782	27801	-2.008	0.000	0.8596	0.7799	1
27783	27797	-1.016	0.000	0.7678	0.5023	1
27783	27801	-2.020	0.000	0.7876	0.5411	1
27784	27787	0.000	0.000	0.7556	0.4681	1
27784	27808	-1.004	0.000	0.9811	0.9396	1
27787	27808	-1.004	0.000	0.7536	0.4874	1
27789	27823	-1.008	0.000	0.9766	0.9501	1
27790	27799	-1.000	0.000	0.9718	0.9372	1
27790	27977	-17.035	0.000	0.9596	0.9207	1
27790	28035	-21.990	0.000	0.7442	0.6833	1
27792	27812	-1.011	0.000	0.8131	0.7002	1
27795	27822	-1.011	0.000	0.9350	0.8554	1
27795	27832	-2.016	0.000	0.8851	0.7873	1
27795	27847	-3.030	0.000	0.8571	0.7874	1
27797	27801	-1.004	0.000	0.9059	0.8264	1
27799	27977	-16.035	0.000	0.9310	0.8885	1
27799	28035	-20.990	0.000	0.7637	0.7036	1
27803	27827	-1.017	0.000	0.8382	0.7482	1
27808	30919	-1037.508	0.000	0.7352	0.6124	1
27816	27817	0.004	0.000	0.8017	0.5211	1
27816	27839	-1.006	0.000	0.9618	0.8843	1
27817	27839	-1.010	0.000	0.8079	0.5359	1
27822	27832	-1.005	0.000	0.9558	0.9314	1
27822	27847	-2.019	0.000	0.9121	0.8762	1
27829	27844	-0.999	0.000	0.7881	0.6174	1
27832	27847	-1.014	0.000	0.8025	0.7228	1
27833	27848	-0.996	0.000	0.8169	0.5365	1
27833	27849	-1.000	0.000	0.9108	0.8283	1
27833	27854	-2.000	0.000	0.8113	0.6838	1
27835	27836	-0.006	0.000	0.8428	0.6718	1
27835	27859	-1.012	0.000	0.9503	0.8381	1
27836	27859	-1.006	0.000	0.8449	0.7321	1
27843	27862	-1.005	0.000	0.9324	0.9080	1
27848	27849	-0.004	0.000	0.7730	0.4932	1
27848	27854	-1.004	0.000	0.8397	0.5970	1
27849	27854	-1.000	0.000	0.8312	0.6916	1
27850	27851	-0.004	0.000	0.8427	0.6627	1
27850	27874	-1.016	0.000	0.8166	0.6424	1
27850	27880	-2.000	0.000	0.7443	0.5984	1
27851	27874	-1.012	0.000	0.9310	0.8564	1
