CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
14579	14621	-1.010	0.000	0.7518	0.6446	1
14580	14602	-1.050	0.000	0.7199	0.5677	1
14583	14601	-0.990	0.000	0.9301	0.8671	1
14592	14606	-0.993	0.000	0.9242	0.8686	1
14592	14636	-1.995	0.000	0.8681	0.8395	1
14596	14624	-1.000	0.000	0.9595	0.8706	1
14597	14626	-1.008	0.000	0.8299	0.7503	1
14603	14632	-1.002	0.000	0.9619	0.8927	1
14603	14662	-2.007	0.000	0.8992	0.8272	1
14604	14635	-0.999	0.000	0.9234	0.7886	1
14604	14663	-1.980	0.000	0.8629	0.7147	1
14605	35387	2.012	0.000	0.7080	0.6612	1
14605	35400	1.006	0.000	0.7196	0.6165	1
14606	14636	-1.002	0.000	0.9342	0.8868	1
14609	14647	-0.996	0.000	0.9382	0.9009	1
14612	14638	-1.004	0.000	0.9700	0.9192	1
14612	14653	-2.008	0.000	0.9499	0.8768	1
14618	14655	-1.002	0.000	0.8484	0.7294	1
14620	14661	-1.008	0.000	0.9181	0.8023	1
14621	14656	-0.996	0.000	0.8271	0.7043	1
14622	14667	-1.004	0.000	0.9760	0.9384	1
14625	15017	-16.014	0.000	0.7026	0.5822	1
14627	14645	-0.996	0.000	0.9547	0.8722	1
14628	14648	-1.005	0.000	0.9182	0.8798	1
14628	14682	-1.995	0.000	0.7348	0.5867	1
14629	14652	-1.014	0.000	0.9003	0.8197	1
14632	14662	-1.005	0.000	0.9077	0.8293	1
14634	14664	-1.008	0.000	0.9637	0.9047	1
14635	14663	-0.981	0.000	0.8609	0.7042	1
14637	14650	-1.008	0.000	0.8550	0.7552	1
14638	14653	-1.004	0.000	0.9611	0.9170	1
14639	14649	-1.000	0.000	0.7775	0.6743	1
14639	14673	-2.010	0.000	0.7526	0.6879	1
14648	14682	-0.990	0.000	0.8361	0.7101	1
14649	14673	-1.010	0.000	0.8737	0.8047	1
14658	14684	-0.996	0.000	0.9214	0.8160	1
14658	14685	-1.005	0.000	0.7535	0.4542	1
14668	14679	-1377.761	0.000	0.7906	0.5670	1
14679	30432	0.997	0.000	0.7851	0.6556	1
14679	30446	0.001	0.000	0.7969	0.6772	1
14679	30464	-0.980	0.000	0.7516	0.5702	1
14684	14685	-0.009	0.000	0.7472	0.4721	1
14689	14721	-1.022	0.000	0.8134	0.5700	1
14691	14740	-1.000	0.000	0.8947	0.7455	1
14697	14715	-1.004	0.000	0.9372	0.8757	1
14697	14743	-2.000	0.000	0.9286	0.8306	1
14697	14757	-3.012	0.000	0.8448	0.7272	1
14698	14714	-0.995	0.000	0.9381	0.9048	1
14698	14731	-2.005	0.000	0.9533	0.9195	1
14698	14746	-2.995	0.000	0.9213	0.8384	1
14698	27166	-0.993	0.000	0.8149	0.7858	1
14698	27182	-1.989	0.000	0.8161	0.7992	1
14698	27201	-3.009	0.000	0.7930	0.7561	1
14701	14730	-1.002	0.000	0.9309	0.8693	1
14701	14762	-2.016	0.000	0.8474	0.7307	1
14701	15156	-17.031	0.000	0.8244	0.7416	1
14701	15188	-18.027	0.000	0.8652	0.7929	1
14703	14735	-0.999	0.000	0.9038	0.8367	1
14704	14734	-1.005	0.000	0.9667	0.9150	1
14704	14761	-1.983	0.000	0.8196	0.7127	1
14704	15067	-14.016	0.000	0.8605	0.7819	1
14704	17479	618.341	0.000	0.7043	0.5917	1
14704	18056	-128.094	0.000	0.8414	0.6736	1
14704	18084	-129.102	0.000	0.7439	0.6307	1
14706	14718	-1.000	0.000	0.8357	0.6480	1
14707	14720	-0.996	0.000	0.8420	0.7322	1
14707	14748	-2.008	0.000	0.8398	0.7504	1
14714	14731	-1.010	0.000	0.9629	0.9266	1
14714	14746	-2.000	0.000	0.8472	0.7590	1
14714	27166	0.002	0.000	0.7467	0.7313	1
14714	27182	-0.994	0.000	0.7442	0.7371	1
14714	27201	-2.014	0.000	0.7211	0.6851	1
14715	14743	-0.996	0.000	0.9452	0.8181	1
14715	14757	-2.008	0.000	0.8897	0.7499	1
14720	14748	-1.012	0.000	0.8900	0.8426	1
14726	14758	-1.011	0.000	0.9635	0.9022	1
14726	15181	-17.037	0.000	0.8003	0.7393	1
14726	35253	14.005	0.000	0.7091	0.6665	1
14726	35528	-0.009	0.000	0.7103	0.6534	1
14726	35537	-1.007	0.000	0.7163	0.6537	1
14728	14756	-0.984	0.000	0.8579	0.7403	1
14728	14782	-1.986	0.000	0.8270	0.7493	1
