CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
29159	29169	-1.002	0.000	0.9678	0.9285	1
29159	29185	-2.004	0.000	0.9637	0.9137	1
29159	29508	-17.019	0.000	0.7486	0.6606	1
29160	29170	-0.996	0.000	0.9602	0.9221	1
29160	29188	-2.004	0.000	0.9197	0.8915	1
29169	29185	-1.002	0.000	0.9648	0.9129	1
29169	29508	-16.017	0.000	0.7561	0.6726	1
29170	29188	-1.008	0.000	0.9292	0.8990	1
29177	29205	-0.987	0.000	0.9151	0.8694	1
29177	29229	-1.986	0.000	0.8503	0.7403	1
29185	29508	-15.015	0.000	0.7328	0.6406	1
29186	29225	-1.006	0.000	0.8201	0.7455	1
29189	29210	-1.005	0.000	0.9763	0.9309	1
29189	29560	-18.036	0.000	0.8820	0.8293	1
29195	29204	-0.992	0.000	0.7586	0.7367	1
29197	29227	-1.008	0.000	0.7409	0.5898	1
29199	29216	-0.992	0.000	0.8659	0.7488	1
29199	29237	-2.016	0.000	0.8487	0.7687	1
29200	29218	-0.996	0.000	0.9494	0.9095	1
29205	29229	-0.999	0.000	0.8517	0.7698	1
29208	29230	-1.005	0.000	0.9669	0.8950	1
29208	29232	-1.011	0.000	0.8172	0.5129	1
29208	29244	-2.013	0.000	0.9413	0.8222	1
29210	29560	-17.031	0.000	0.8990	0.8533	1
29215	29240	-1.020	0.000	0.8732	0.7319	1
29215	33677	-174.064	0.000	0.8195	0.6457	1
29216	29237	-1.024	0.000	0.8337	0.7433	1
29228	29270	-1.006	0.000	0.9570	0.8850	1
29228	29297	-2.006	0.000	0.8501	0.8024	1
29230	29232	-0.006	0.000	0.8459	0.5698	1
29230	29244	-1.008	0.000	0.9625	0.8754	1
29232	29244	-1.002	0.000	0.8551	0.5933	1
29234	29265	-1.023	0.000	0.8570	0.8099	1
29239	29278	-2.020	0.000	0.7803	0.6451	1
29247	29271	-0.976	0.000	0.8663	0.7915	1
29253	29281	896.429	0.000	0.8067	0.7095	1
29253	29305	895.436	0.000	0.7335	0.5881	1
29260	29282	-1.020	0.000	0.9595	0.9105	1
29265	29284	-1.014	0.000	0.8357	0.7717	1
29268	29283	-0.999	0.000	0.8837	0.7318	1
29270	29297	-1.000	0.000	0.8075	0.7386	1
29273	29290	-0.996	0.000	0.9247	0.8629	1
29279	29302	-0.987	0.000	0.9733	0.9433	1
29279	29335	-1.995	0.000	0.8695	0.7236	1
29279	29337	-2.001	0.000	0.9337	0.8903	1
29281	29305	-0.993	0.000	0.8809	0.7981	1
29281	29339	-1.998	0.000	0.7471	0.5951	1
29286	29318	-1.004	0.000	0.9379	0.9007	1
29287	29330	-1.000	0.000	0.8908	0.7803	1
29292	29313	-1.008	0.000	0.7810	0.6820	1
29292	29340	-2.000	0.000	0.7121	0.5990	1
29300	29324	-0.993	0.000	0.9453	0.8790	1
29300	29358	-1.995	0.000	0.9359	0.8763	1
29302	29335	-1.008	0.000	0.8583	0.6910	1
29302	29337	-1.014	0.000	0.9487	0.9076	1
29303	29334	-0.996	0.000	0.9282	0.8235	1
29303	29360	-2.007	0.000	0.9032	0.7930	1
29305	29339	-1.005	0.000	0.8134	0.6615	1
29307	29344	-1.014	0.000	0.9352	0.8301	1
29313	29340	-0.992	0.000	0.7772	0.6880	1
29318	29364	-0.996	0.000	0.7272	0.6918	1
29319	29365	-1.002	0.000	0.8154	0.6002	1
29320	29356	-1.002	0.000	0.9302	0.8583	1
29320	29375	-2.001	0.000	0.9145	0.8325	1
29324	29358	-1.002	0.000	0.9557	0.9070	1
29325	29348	-1.008	0.000	0.9481	0.8818	1
29325	29367	-2.004	0.000	0.8940	0.8262	1
29325	29383	-3.028	0.000	0.7342	0.6190	1
29325	29572	1788.356	0.000	0.7325	0.5501	1
29329	29369	-1.006	0.000	0.9545	0.9066	1
29329	29388	-2.006	0.000	0.8167	0.7781	1
29334	29360	-1.011	0.000	0.9524	0.8762	1
29335	29337	-0.006	0.000	0.8425	0.6739	1
29348	29367	-0.996	0.000	0.9381	0.8683	1
29348	29383	-2.020	0.000	0.7782	0.6247	1
29348	29572	1789.364	0.000	0.7287	0.5285	1
29356	29375	-0.999	0.000	0.9228	0.8380	1
29366	29381	-1.004	0.000	0.9254	0.8514	1
29366	29386	-2.000	0.000	0.8843	0.8212	1
29367	29383	-1.024	0.000	0.7898	0.6571	1
29367	29572	1790.359	0.000	0.7235	0.5664	1
29369	29388	-1.000	0.000	0.8119	0.7254	1
29381	29386	-0.996	0.000	0.9233	0.8478	1
29389	29406	-1.017	0.000	0.8970	0.8281	1
29395	29396	0.004	0.000	0.9544	0.9071	1
29395	29416	-0.996	0.000	0.9557	0.9177	1
29396	29416	-1.000	0.000	0.9711	0.9330	1
29398	29419	-1.000	0.000	0.7808	0.6614	1
29399	29421	-1.006	0.000	0.9713	0.9334	1
29409	29425	-1.002	0.000	0.8644	0.7184	1
29409	29426	-1.002	0.000	0.8142	0.5688	1
29409	29454	-2.013	0.000	0.8395	0.7115	1
29409	29714	-17.022	0.000	0.8205	0.6377	1
29409	29732	-18.021	0.000	0.7706	0.4871	1
29409	29734	-18.030	0.000	0.8188	0.6456	1
29411	29423	-0.950	0.000	0.8787	0.7790	1
29425	29426	0.000	0.000	0.8864	0.6980	1
29425	29454	-1.011	0.000	0.9568	0.8674	1
29425	29714	-16.020	0.000	0.9430	0.8432	1
29425	29732	-17.019	0.000	0.8446	0.6110	1
29425	29734	-17.028	0.000	0.9519	0.8765	1
29425	29774	887.483	0.000	0.7579	0.5581	1
29425	29818	-21.966	0.000	0.8126	0.6630	1
29425	29819	-21.978	0.000	0.8231	0.6848	1
29426	29454	-1.011	0.000	0.8637	0.6401	1
29426	29714	-16.020	0.000	0.8679	0.6654	1
29426	29732	-17.019	0.000	0.8968	0.7469	1
29426	29734	-17.028	0.000	0.8478	0.6457	1
29426	29774	887.483	0.000	0.7582	0.6227	1
29426	29818	-21.966	0.000	0.7833	0.6479	1
29426	29819	-21.978	0.000	0.7520	0.5322	1
29429	29432	-0.944	0.000	0.8750	0.7797	1
29429	29433	-0.960	0.000	0.9072	0.8140	1
29429	29461	-1.960	0.000	0.8465	0.8019	1
29429	29462	-1.984	0.000	0.7875	0.6447	1
29429	29479	-2.956	0.000	0.8120	0.7575	1
29431	29448	-1.005	0.000	0.9304	0.8482	1
29431	29460	-1.995	0.000	0.8713	0.7620	1
29432	29433	-0.016	0.000	0.9155	0.7988	1
29432	29461	-1.016	0.000	0.8480	0.7742	1
29432	29462	-1.040	0.000	0.8096	0.6437	1
29432	29479	-2.012	0.000	0.8178	0.7234	1
29433	29461	-1.000	0.000	0.9187	0.8544	1
29433	29462	-1.024	0.000	0.8137	0.6334	1
29433	29479	-1.996	0.000	0.8772	0.7992	1
29446	29489	-1.002	0.000	0.9612	0.9085	1
29448	29460	-0.990	0.000	0.8561	0.7629	1
29450	29492	-1.006	0.000	0.9559	0.8651	1
29454	29714	-15.009	0.000	0.9369	0.8454	1
