CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
1823	1830	-1.004	0.000	0.9601	0.8968	1
1823	2926	-128.096	0.000	0.7836	0.7290	1
1823	8856	0.001	0.000	0.8259	0.7692	1
1823	8872	-0.962	0.000	0.7133	0.6402	1
1825	3153	-74.010	0.000	0.7435	0.5513	1
1830	2935	-128.096	0.000	0.7681	0.6887	1
1830	8856	1.005	0.000	0.7954	0.7744	1
1830	8872	0.042	0.000	0.7089	0.5979	1
1831	1839	-1.000	0.000	0.9614	0.8948	1
1831	8881	-0.008	0.000	0.7450	0.7478	1
1831	8902	-1.007	0.000	0.7255	0.7331	1
1835	1841	-0.995	0.000	0.8221	0.7988	1
1838	7355	-250.096	0.000	0.7553	0.5360	1
1839	8881	0.992	0.000	0.7356	0.7137	1
1839	8902	-0.007	0.000	0.7157	0.6906	1
1843	1846	-0.996	0.000	0.9049	0.7986	1
1847	1853	-0.996	0.000	0.8995	0.8083	1
1850	1874	-1.944	0.000	0.7474	0.6365	1
1850	2018	-15.960	0.000	0.7342	0.5348	1
1850	2153	-25.906	0.000	0.7774	0.5776	1
1850	2857	-59.918	0.000	0.7127	0.5108	1
1850	3302	-77.044	0.000	0.7044	0.5617	1
1850	4586	-140.960	0.000	0.7649	0.5804	1
1850	8542	-291.080	0.000	0.7139	0.5039	1
1855	1868	-1.005	0.000	0.7708	0.6571	1
1858	1859	0.000	0.000	0.7772	0.5543	1
1858	1862	-1.002	0.000	0.7701	0.5752	1
1859	1862	-1.002	0.000	0.9381	0.8232	1
1865	1870	-1.008	0.000	0.7806	0.6674	1
1874	1909	-1.972	0.000	0.7349	0.5945	1
1874	1922	-3.022	0.000	0.7048	0.5372	1
1874	2153	-23.962	0.000	0.7985	0.6302	1
1874	2470	-40.018	0.000	0.7431	0.5805	1
1874	2857	-57.974	0.000	0.7162	0.5782	1
1874	4586	-139.016	0.000	0.7682	0.5553	1
1874	8606	-291.074	0.000	0.7653	0.5415	1
1875	1888	-0.922	0.000	0.8942	0.8899	1
1875	2486	-40.952	0.000	0.7584	0.5577	1
1875	3837	-102.004	0.000	0.7090	0.5051	1
1875	4046	-109.016	0.000	0.7119	0.4960	1
1876	1885	-1.002	0.000	0.8744	0.7496	1
1879	1894	-0.999	0.000	0.9807	0.9208	1
1880	1895	-1.005	0.000	0.9572	0.9062	1
1883	1898	-1.005	0.000	0.9634	0.9199	1
1887	14319	-0.001	0.000	0.7174	0.5792	1
1892	1911	-0.998	0.000	0.7106	0.4847	1
1892	1960	-4.032	0.000	0.8400	0.6266	1
1892	2125	-21.058	0.000	0.7681	0.5136	1
1892	2315	-31.032	0.000	0.7259	0.5092	1
1892	2393	-35.038	0.000	0.7680	0.6243	1
1892	2594	-45.032	0.000	0.7009	0.4218	1
1892	2662	-48.058	0.000	0.8204	0.6217	1
1892	3002	-62.044	0.000	0.7450	0.5701	1
1892	3071	-65.082	0.000	0.8125	0.5957	1
1892	3346	-75.056	0.000	0.7353	0.5133	1
1892	3439	-79.064	0.000	0.7157	0.4543	1
1892	4090	-109.110	0.000	0.7625	0.4680	1
1892	4335	-119.086	0.000	0.7283	0.5319	1
1892	4532	-136.110	0.000	0.8023	0.5532	1
1892	4917	-150.088	0.000	0.7138	0.4783	1
1892	4990	-153.136	0.000	0.7729	0.5440	1
1892	5404	-177.092	0.000	0.8205	0.6032	1
1892	5485	-180.136	0.000	0.8505	0.6652	1
1892	5863	-194.110	0.000	0.7452	0.4983	1
1892	5957	-197.164	0.000	0.8265	0.6347	1
1892	6243	-207.136	0.000	0.8331	0.6470	1
1892	6391	-212.144	0.000	0.7422	0.6047	1
1892	6643	-221.118	0.000	0.8230	0.5681	1
1892	6748	-224.162	0.000	0.8482	0.6380	1
1892	7152	-237.150	0.000	0.7208	0.5056	1
1892	7181	-238.142	0.000	0.7875	0.5898	1
1892	7502	-251.168	0.000	0.8269	0.6420	1
1892	7643	-255.166	0.000	0.8425	0.6106	1
1892	7937	-265.142	0.000	0.8655	0.6964	1
1892	8018	-268.188	0.000	0.8617	0.6626	1
1892	8306	-282.168	0.000	0.7940	0.5735	1
1892	8409	-285.218	0.000	0.8325	0.5970	1
1892	8445	-286.218	0.000	0.8413	0.6206	1
1892	8801	-295.190	0.000	0.8340	0.6565	1
1892	8933	-299.196	0.000	0.8354	0.6150	1
1892	9176	-312.214	0.000	0.7171	0.4678	1
1892	9635	-326.194	0.000	0.8591	0.6704	1
1892	9763	-329.238	0.000	0.7937	0.5778	1
1892	10117	-339.214	0.000	0.8248	0.6300	1
1892	10147	-340.214	0.000	0.8229	0.6179	1
1892	10256	-343.218	0.000	0.7517	0.5397	1
1892	10665	-354.198	0.000	0.7844	0.5709	1
1892	10733	-356.240	0.000	0.7883	0.5936	1
1892	11250	-370.218	0.000	0.7646	0.5256	1
1892	11400	-373.268	0.000	0.7537	0.5408	1
1893	1900	-1.004	0.000	0.9121	0.7809	1
1899	4947	-227.154	0.000	0.7391	0.5551	1
1902	1915	-1.004	0.000	0.9142	0.8329	1
1909	2153	-21.990	0.000	0.7459	0.5135	1
1909	2408	-35.036	0.000	0.7037	0.4859	1
1909	2470	-38.046	0.000	0.7379	0.5629	1
1909	4586	-137.044	0.000	0.7810	0.5706	1
1909	5711	-187.150	0.000	0.7019	0.4367	1
1909	7714	-257.128	0.000	0.8175	0.6399	1
1909	7986	-266.118	0.000	0.7014	0.4512	1
1911	1960	-3.034	0.000	0.7516	0.5402	1
1911	2315	-30.034	0.000	0.7417	0.5030	1
1911	2393	-34.040	0.000	0.7887	0.5048	1
1911	2594	-44.034	0.000	0.8351	0.6286	1
1911	2662	-47.060	0.000	0.7662	0.6130	1
1911	3002	-61.046	0.000	0.7784	0.5162	1
1911	3071	-64.084	0.000	0.7125	0.5876	1
1911	3346	-74.058	0.000	0.7754	0.5543	1
1911	3439	-78.066	0.000	0.7179	0.4807	1
1911	3683	-88.058	0.000	0.8540	0.7120	1
1911	3703	-89.042	0.000	0.7855	0.6302	1
1911	3993	-105.070	0.000	0.7275	0.4539	1
1911	4335	-118.088	0.000	0.7485	0.5543	1
1911	4361	-119.098	0.000	0.7110	0.5236	1
1911	4532	-135.112	0.000	0.7357	0.5496	1
1911	4917	-149.090	0.000	0.7440	0.4883	1
1911	5404	-176.094	0.000	0.8394	0.6053	1
1911	5485	-179.138	0.000	0.7476	0.4792	1
1911	5863	-193.112	0.000	0.7245	0.4771	1
1911	5957	-196.166	0.000	0.7293	0.5655	1
1911	6243	-206.138	0.000	0.7596	0.4518	1
1911	6272	-207.140	0.000	0.7364	0.4518	1
1911	6362	-210.142	0.000	0.7597	0.4724	1
1911	6391	-211.146	0.000	0.7417	0.4288	1
1911	6748	-223.164	0.000	0.7449	0.5260	1
1911	7181	-237.144	0.000	0.7954	0.5044	1
1911	7502	-250.170	0.000	0.7065	0.4228	1
1911	7643	-254.168	0.000	0.7165	0.4864	1
1911	8018	-267.190	0.000	0.7183	0.4054	1
1911	8801	-294.192	0.000	0.7119	0.4054	1
1911	10117	-338.216	0.000	0.7148	0.4329	1
1911	10147	-339.216	0.000	0.7179	0.4054	1
1912	1925	455.112	0.000	0.7302	0.6253	1
1914	3615	-85.014	0.000	0.7890	0.6756	1
1916	1927	-1.005	0.000	0.9328	0.8230	1
1920	1937	-1.002	0.000	0.9792	0.9181	1
1920	14397	-0.003	0.000	0.7922	0.7253	1
