CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
36443	36448	-0.980	0.000	0.7510	0.5268	1
36443	36525	-14.936	0.000	0.7019	0.5002	1
36443	36530	-15.980	0.000	0.7045	0.5063	1
36443	36536	-16.980	0.000	0.7222	0.5181	1
36447	36578	-16.986	0.000	0.9296	0.8603	1
36447	37515	-127.062	0.000	0.7362	0.6586	1
36447	37528	-128.055	0.000	0.7360	0.6650	1
36452	36463	-0.984	0.000	0.9293	0.8119	1
36466	36472	-1.002	0.000	0.9366	0.8867	1
36466	36591	-15.963	0.000	0.8187	0.6694	1
36466	36602	-16.965	0.000	0.8447	0.7245	1
36466	36611	-17.970	0.000	0.8460	0.7566	1
36466	36618	-18.972	0.000	0.8004	0.6926	1
36466	36778	-33.996	0.000	0.9286	0.8070	1
36466	36785	-34.992	0.000	0.8718	0.7613	1
36469	36475	-0.987	0.000	0.9546	0.8862	1
36472	36591	-14.961	0.000	0.8107	0.6624	1
36472	36602	-15.963	0.000	0.8356	0.7234	1
36472	36611	-16.968	0.000	0.8589	0.7633	1
36472	36618	-17.970	0.000	0.8430	0.6986	1
36472	36778	-32.994	0.000	0.8487	0.6878	1
36472	36785	-33.990	0.000	0.9116	0.8080	1
36482	36493	-2.017	0.000	0.7286	0.5998	1
36492	36493	-0.007	0.000	0.7145	0.5464	1
36495	36509	-1.006	0.000	0.9689	0.9158	1
36497	36510	-1.020	0.000	0.9175	0.8562	1
36501	36505	-1.008	0.000	0.8564	0.7664	1
36501	36512	-2.024	0.000	0.8544	0.7449	1
36505	36512	-1.016	0.000	0.8473	0.7274	1
36508	36514	-1.008	0.000	0.9370	0.8420	1
36524	36538	-1.012	0.000	0.9129	0.8171	1
36525	36527	1068.518	0.000	0.7545	0.4982	1
36525	36530	-1.044	0.000	0.7314	0.5692	1
36525	36536	-2.044	0.000	0.7805	0.6482	1
36527	36530	-1069.562	0.000	0.7260	0.5441	1
36527	36536	-1070.562	0.000	0.7368	0.4937	1
36530	36536	-1.000	0.000	0.8298	0.6493	1
36537	36545	-0.504	0.000	0.7174	0.5616	1
36540	37046	-36.998	0.000	0.7622	0.4729	1
36546	36553	-1.028	0.000	0.9174	0.8471	1
36547	36717	-15.987	0.000	0.8706	0.7816	1
36549	36568	-1.006	0.000	0.9760	0.9293	1
36549	36581	-2.006	0.000	0.7832	0.5478	1
36549	36582	-2.010	0.000	0.7899	0.7404	1
36549	36775	-14.016	0.000	0.9021	0.7573	1
36549	36781	-15.020	0.000	0.7958	0.7015	1
36563	38393	-329.176	0.000	0.7022	0.5908	1
36563	38398	-330.168	0.000	0.8330	0.7317	1
36563	38403	-331.168	0.000	0.7284	0.6416	1
36563	38404	-331.156	0.000	0.7294	0.5920	1
36563	38458	-348.200	0.000	0.7018	0.5659	1
36563	39050	-557.328	0.000	0.7624	0.5881	1
36568	36581	-1.000	0.000	0.7511	0.5244	1
36568	36582	-1.004	0.000	0.8374	0.7486	1
36568	36775	-13.010	0.000	0.7494	0.5977	1
36568	36781	-14.014	0.000	0.9463	0.8829	1
