CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
21868	21905	-0.996	0.000	0.9359	0.8297	1
21868	23405	-42.010	0.000	0.8340	0.7303	1
21870	21903	-0.970	0.000	0.7011	0.6044	1
21875	21897	-0.982	0.000	0.8542	0.7875	1
21883	21906	-0.993	0.000	0.9020	0.8450	1
21885	21919	-0.999	0.000	0.9694	0.9012	1
21885	34054	-632.322	0.000	0.7681	0.6177	1
21886	21919	-1.005	0.000	0.7276	0.4937	1
21887	21923	-1.011	0.000	0.9153	0.8174	1
21888	21926	-1.008	0.000	0.9669	0.9262	1
21889	21924	-0.993	0.000	0.9577	0.8913	1
21891	21900	-0.882	0.000	0.7364	0.5914	1
21893	21930	-1.008	0.000	0.9431	0.8712	1
21905	23444	-42.014	0.000	0.7993	0.7019	1
21908	21913	-0.006	0.000	0.8489	0.5852	1
21909	21941	-1.008	0.000	0.8855	0.6929	1
21911	21959	1565.796	0.000	0.7923	0.6940	1
21911	22234	-17.020	0.000	0.7834	0.6254	1
21911	22252	-18.020	0.000	0.8458	0.7222	1
21911	22274	-19.024	0.000	0.7758	0.6367	1
21919	34070	-632.328	0.000	0.7580	0.5644	1
21922	21943	-1.005	0.000	0.9148	0.8327	1
21928	21961	-1.000	0.000	0.9738	0.9320	1
21929	38560	18.027	0.000	0.7229	0.5753	1
21929	38568	17.025	0.000	0.7455	0.6054	1
21936	21963	-1.002	0.000	0.9521	0.9104	1
21936	21976	-2.022	0.000	0.8570	0.7434	1
21936	22338	-17.016	0.000	0.8512	0.7253	1
21936	22395	-19.026	0.000	0.8926	0.7679	1
21946	21970	-1.008	0.000	0.9363	0.8843	1
21946	26806	-215.127	0.000	0.7132	0.6372	1
21946	26829	-216.144	0.000	0.7097	0.6488	1
21949	21972	-1.011	0.000	0.9067	0.8106	1
21949	22002	-786.365	0.000	0.8521	0.6799	1
21951	21980	-0.988	0.000	0.8972	0.7485	1
21955	21990	-1.006	0.000	0.9576	0.8900	1
21959	22234	-1582.816	0.000	0.7152	0.5775	1
21959	22252	-1583.816	0.000	0.7188	0.5698	1
21963	21976	-1.020	0.000	0.8852	0.7700	1
21963	22338	-16.014	0.000	0.8636	0.7308	1
21963	22395	-18.024	0.000	0.8993	0.7725	1
21963	22476	-21.969	0.000	0.7053	0.5887	1
21968	21995	-0.999	0.000	0.9641	0.9106	1
21970	26806	-214.119	0.000	0.7103	0.6190	1
21970	26829	-215.136	0.000	0.7142	0.6418	1
21972	22002	-785.354	0.000	0.9099	0.8114	1
21974	22010	-1.016	0.000	0.9310	0.8787	1
21976	22338	-14.994	0.000	0.8413	0.6926	1
21976	22395	-17.004	0.000	0.9006	0.7603	1
