CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
23689	23722	-1.000	0.000	0.9645	0.9099	1
23691	23734	-1.010	0.000	0.9412	0.8311	1
23693	23712	-1.008	0.000	0.8258	0.6705	1
23696	23713	-0.988	0.000	0.8677	0.7758	1
23699	23719	-1.011	0.000	0.8911	0.7685	1
23700	23725	-1.008	0.000	0.7312	0.4986	1
23702	23715	-1.008	0.000	0.7706	0.7510	1
23703	23740	-1.017	0.000	0.8283	0.6541	1
23708	23746	-0.996	0.000	0.8160	0.7023	1
23715	23755	-0.846	0.000	0.7229	0.7225	1
23716	23756	-1.002	0.000	0.9640	0.9187	1
23716	24068	-13.992	0.000	0.7652	0.6318	1
23724	23763	-1.005	0.000	0.8925	0.7861	1
23726	23778	-1.004	0.000	0.8642	0.7297	1
23726	24217	-14.026	0.000	0.7563	0.5999	1
23729	23775	-1.002	0.000	0.9818	0.9398	1
23730	23765	-1.011	0.000	0.9171	0.8568	1
23731	23733	0.000	0.000	0.7958	0.5736	1
23731	23767	-1.014	0.000	0.8034	0.6037	1
23733	23767	-1.014	0.000	0.9411	0.8594	1
23735	23739	0.004	0.000	0.8198	0.6155	1
23741	23750	-0.990	0.000	0.8294	0.7626	1
23741	23769	-1.998	0.000	0.8569	0.8460	1
23742	23747	-0.027	0.000	0.7291	0.4667	1
23742	23771	-1.035	0.000	0.7375	0.5179	1
23747	23771	-1.008	0.000	0.8806	0.7666	1
23747	23772	-1.008	0.000	0.9244	0.8248	1
23747	23794	-1.983	0.000	0.8965	0.7164	1
23747	23795	-2.013	0.000	0.9052	0.7960	1
23747	23853	-4.011	0.000	0.7660	0.6627	1
23750	23769	-1.008	0.000	0.7247	0.6442	1
23750	33009	1.028	0.000	0.7255	0.6824	1
23750	33016	-0.007	0.000	0.7488	0.7125	1
23752	23774	-1.000	0.000	0.9335	0.8803	1
23756	24068	-12.990	0.000	0.7817	0.6847	1
23771	23772	0.000	0.000	0.8373	0.6851	1
23771	23794	-0.975	0.000	0.8806	0.7285	1
23771	23795	-1.005	0.000	0.8324	0.7032	1
23772	23794	-0.975	0.000	0.9006	0.6957	1
23772	23795	-1.005	0.000	0.9129	0.7646	1
23778	24246	-14.024	0.000	0.7844	0.6331	1
23779	23813	-810.387	0.000	0.8457	0.7338	1
23782	23783	0.004	0.000	0.8620	0.7105	1
23782	23833	-1.006	0.000	0.9010	0.8182	1
23783	23833	-1.010	0.000	0.8979	0.7250	1
23788	23838	-1.000	0.000	0.9393	0.8634	1
23791	23815	-0.996	0.000	0.8745	0.7765	1
23794	23795	-0.030	0.000	0.9036	0.7412	1
23794	23853	-2.028	0.000	0.7065	0.4880	1
23796	23836	-1.017	0.000	0.8828	0.7408	1
23802	23831	-1.016	0.000	0.7660	0.6887	1
23813	23851	-0.963	0.000	0.7360	0.6701	1
23818	23852	-0.993	0.000	0.7870	0.6327	1
23820	23844	-1.000	0.000	0.9400	0.8539	1
