CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
3647	3658	-1.008	0.000	0.7491	0.5509	1
3651	3667	-1.005	0.000	0.8348	0.6559	1
3657	3677	-1.006	0.000	0.7108	0.7195	1
3662	3669	-1.004	0.000	0.8262	0.7030	1
3666	3676	-1.005	0.000	0.9357	0.8720	1
3673	3702	-2.012	0.000	0.9256	0.8597	1
3673	13203	-1.005	0.000	0.7186	0.6251	1
3674	3686	-1.012	0.000	0.9512	0.8724	1
3674	3701	-2.004	0.000	0.9043	0.8036	1
3678	3908	-21.981	0.000	0.7527	0.5138	1
3678	3932	-22.983	0.000	0.7377	0.4754	1
3678	19440	-0.002	0.000	0.7379	0.6585	1
3678	19482	-1.002	0.000	0.7560	0.6652	1
3683	3703	-0.984	0.000	0.7783	0.6179	1
3683	4335	-30.030	0.000	0.7010	0.4433	1
3683	4361	-31.040	0.000	0.7181	0.5145	1
3683	4917	-61.032	0.000	0.7041	0.4774	1
3683	5404	-88.036	0.000	0.8035	0.6359	1
3683	5485	-91.080	0.000	0.7103	0.4818	1
3683	6243	-118.080	0.000	0.7185	0.4855	1
3683	7181	-149.086	0.000	0.7428	0.4484	1
3686	3701	-0.992	0.000	0.9112	0.8140	1
3692	3790	-14.016	0.000	0.8507	0.7290	1
3692	3802	-15.018	0.000	0.7961	0.6529	1
3692	3858	-18.000	0.000	0.7242	0.6084	1
3692	4126	-31.002	0.000	0.7066	0.5240	1
3692	5782	-151.995	0.000	0.8235	0.6880	1
3692	5799	-153.000	0.000	0.7934	0.6465	1
3702	13203	1.007	0.000	0.7115	0.6090	1
3703	3993	-16.028	0.000	0.7431	0.4759	1
3703	4917	-60.048	0.000	0.8016	0.5849	1
3703	4938	-61.076	0.000	0.7173	0.4887	1
3703	5404	-87.052	0.000	0.8037	0.5658	1
3703	5863	-104.070	0.000	0.7315	0.5019	1
3703	6362	-121.100	0.000	0.7673	0.4759	1
3703	6391	-122.104	0.000	0.7787	0.4759	1
3703	7181	-148.102	0.000	0.8028	0.5204	1
3703	7643	-165.126	0.000	0.7039	0.5214	1
3703	9821	-241.140	0.000	0.7252	0.4759	1
3712	3722	-2.016	0.000	0.7416	0.4780	1
3712	3724	499.559	0.000	0.7290	0.4060	1
3712	4388	-50.637	0.000	0.7258	0.4244	1
3716	19566	-0.001	0.000	0.7531	0.7418	1
3716	19620	-1.001	0.000	0.7291	0.6895	1
3719	3720	501.200	0.000	0.7415	0.5110	1
3719	3722	-0.993	0.000	0.8433	0.7142	1
3719	3723	-1.149	0.000	0.7753	0.4767	1
3719	3724	500.582	0.000	0.7380	0.4130	1
3719	3725	500.232	0.000	0.7290	0.4999	1
3719	4388	-49.614	0.000	0.7293	0.4281	1
3719	5046	-98.175	0.000	0.7470	0.4666	1
3719	5053	434.464	0.000	0.7471	0.4494	1
3719	18726	25.044	0.000	0.7356	0.4697	1
3720	3722	-502.193	0.000	0.7140	0.5226	1
3720	3723	-502.349	0.000	0.7721	0.5031	1
3720	3724	-0.618	0.000	0.7503	0.4870	1
3720	3725	-0.968	0.000	0.8855	0.7257	1
3720	3729	-1.962	0.000	0.7492	0.5560	1
3720	4388	-550.814	0.000	0.7672	0.5404	1
3720	5046	-599.375	0.000	0.7198	0.4713	1
3720	5053	-66.736	0.000	0.7979	0.5970	1
3722	3724	501.575	0.000	0.7962	0.4668	1
3722	3725	501.225	0.000	0.7870	0.5805	1
3722	3728	-1.956	0.000	0.7139	0.4739	1
3722	4388	-48.621	0.000	0.7874	0.5199	1
3722	5053	435.457	0.000	0.7487	0.4590	1
3722	5054	-99.705	0.000	0.7066	0.4644	1
3722	18740	25.395	0.000	0.7246	0.4215	1
3723	3724	501.731	0.000	0.7721	0.5707	1
3723	3725	501.381	0.000	0.7487	0.5130	1
3723	4388	-48.465	0.000	0.7425	0.5707	1
3723	4398	-53.001	0.000	0.7154	0.5946	1
3723	5046	-97.026	0.000	0.8990	0.7504	1
3723	5050	-97.929	0.000	0.7515	0.4671	1
3723	5053	435.613	0.000	0.8176	0.7093	1
3723	18740	25.551	0.000	0.7121	0.5552	1
3724	3725	-0.350	0.000	0.7811	0.5400	1
3724	3728	-503.531	0.000	0.7800	0.4613	1
3724	3729	-1.344	0.000	0.7880	0.5140	1
3724	4388	-550.196	0.000	0.9461	0.7372	1
3724	5053	-66.118	0.000	0.9119	0.7140	1
3724	5054	-601.280	0.000	0.7648	0.4259	1
3724	18739	-476.182	0.000	0.8147	0.5435	1
