CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
20044	20045	0.000	0.000	0.8708	0.6126	1
20052	20075	-1.008	0.000	0.8262	0.7235	1
20058	20292	-9.015	0.000	0.7233	0.7012	1
20058	20321	-10.020	0.000	0.7939	0.7299	1
20060	20101	-0.996	0.000	0.8549	0.7413	1
20061	20103	-1.005	0.000	0.8327	0.7479	1
20062	20107	-1.011	0.000	0.9672	0.9165	1
20063	34722	1.009	0.000	0.7126	0.7238	1
20063	34736	0.001	0.000	0.7093	0.6927	1
20068	20096	-1.005	0.000	0.9384	0.8554	1
20070	20128	-1.006	0.000	0.9512	0.8452	1
20070	22799	-71.036	0.000	0.8349	0.7263	1
20070	29749	-1199.608	0.000	0.7372	0.5992	1
20070	29782	-1201.618	0.000	0.7207	0.6132	1
20070	30070	-1217.638	0.000	0.7143	0.6016	1
20070	30097	-1218.640	0.000	0.7185	0.5110	1
20073	20074	-0.012	0.000	0.7313	0.5039	1
20073	20112	-1.005	0.000	0.9019	0.8294	1
20080	20110	-1.004	0.000	0.9154	0.7996	1
20095	20108	-1.005	0.000	0.9042	0.7900	1
20098	20136	-1.000	0.000	0.9398	0.8631	1
20109	20130	-1.004	0.000	0.9091	0.8314	1
20109	20371	-14.992	0.000	0.7856	0.7013	1
20109	20396	-15.992	0.000	0.7994	0.7343	1
20109	20409	-16.988	0.000	0.7800	0.6961	1
20110	20134	-0.988	0.000	0.8093	0.7213	1
20113	20139	-1.008	0.000	0.8176	0.6747	1
20113	20161	-2.007	0.000	0.7711	0.6537	1
20115	20140	-0.993	0.000	0.8621	0.7530	1
20115	20162	-1.998	0.000	0.8207	0.7416	1
20117	20148	-1.005	0.000	0.8871	0.7944	1
20117	20186	-2.013	0.000	0.8545	0.7132	1
20118	20146	-0.993	0.000	0.7795	0.4705	1
20118	20149	-0.999	0.000	0.8514	0.6587	1
20128	22799	-70.030	0.000	0.8225	0.6993	1
20128	29749	-1198.602	0.000	0.7472	0.6251	1
20128	29782	-1200.612	0.000	0.7267	0.6357	1
20128	30070	-1216.632	0.000	0.7051	0.5894	1
20128	30097	-1217.634	0.000	0.7168	0.4808	1
20130	20371	-13.988	0.000	0.7887	0.6972	1
20130	20396	-14.988	0.000	0.7268	0.6507	1
20130	20409	-15.984	0.000	0.8402	0.7900	1
20135	20184	-1.000	0.000	0.9273	0.8346	1
20139	20161	-0.999	0.000	0.9292	0.8380	1
20140	20162	-1.005	0.000	0.8519	0.7477	1
20144	20177	-1.002	0.000	0.9772	0.9303	1
20146	20149	-0.006	0.000	0.8241	0.5284	1
20147	20182	-0.999	0.000	0.9163	0.8614	1
20147	20202	-2.001	0.000	0.8818	0.8249	1
20148	20186	-1.008	0.000	0.8746	0.7671	1
20154	20174	-0.996	0.000	0.8860	0.8315	1
20156	20172	-1.000	0.000	0.9027	0.8068	1
20158	20185	-1.008	0.000	0.9666	0.9045	1
20166	20196	-1.008	0.000	0.9738	0.9422	1
20166	38179	-0.002	0.000	0.7273	0.7461	1
20166	38191	-1.007	0.000	0.7356	0.7404	1
20180	20198	-0.996	0.000	0.9149	0.8374	1
20180	20222	-2.004	0.000	0.8993	0.8212	1
20180	20590	-17.025	0.000	0.8805	0.8214	1
20180	20628	-18.033	0.000	0.8541	0.7277	1
20182	20202	-1.002	0.000	0.9481	0.9111	1
20196	38179	1.006	0.000	0.7183	0.7339	1
20196	38191	0.001	0.000	0.7270	0.7209	1
20198	20222	-1.008	0.000	0.8849	0.7790	1
20198	20590	-16.029	0.000	0.8663	0.8115	1
20198	20628	-17.037	0.000	0.8635	0.7617	1
20199	20218	-1.005	0.000	0.8371	0.7732	1
20205	20206	-0.003	0.000	0.7419	0.5186	1
20214	20226	-0.992	0.000	0.8744	0.7583	1
20214	20246	-1.976	0.000	0.7702	0.6081	1
20216	20227	1521.374	0.000	0.8767	0.8079	1
20216	20255	-2.012	0.000	0.8957	0.7976	1
20222	20245	-1.008	0.000	0.7330	0.7650	1
20222	20590	-15.021	0.000	0.8365	0.7540	1
20222	20628	-16.029	0.000	0.8507	0.7106	1
20226	20246	-0.984	0.000	0.8108	0.6615	1
20227	20255	-1523.385	0.000	0.9436	0.8975	1
20227	20256	-1523.390	0.000	0.7596	0.4900	1
20233	20259	-1.008	0.000	0.8269	0.7135	1
20233	20287	-2.010	0.000	0.8811	0.7920	1
20238	20260	-1.008	0.000	0.9517	0.8883	1
20240	20263	-0.996	0.000	0.8687	0.7284	1
20248	20268	-1.005	0.000	0.9615	0.9190	1
20248	20270	-1.014	0.000	0.7100	0.7133	1
20248	20294	-2.004	0.000	0.8174	0.7188	1
20253	20282	-1.002	0.000	0.9454	0.8769	1
20254	20283	-1.002	0.000	0.9726	0.9193	1
20255	20256	-0.004	0.000	0.7272	0.4835	1
20255	34838	1.002	0.000	0.7020	0.6538	1
20259	20287	-1.002	0.000	0.8979	0.8203	1
20261	20289	-1.005	0.000	0.9248	0.8632	1
20261	20308	-2.001	0.000	0.9458	0.8644	1
20262	20288	-0.999	0.000	0.9307	0.8454	1
20262	20309	-2.004	0.000	0.9463	0.8823	1
20262	20733	-18.030	0.000	0.9365	0.8485	1
20262	20760	-19.038	0.000	0.8809	0.7903	1
20262	38238	0.001	0.000	0.7178	0.7222	1
20262	38253	-0.996	0.000	0.7227	0.7354	1
20268	20294	-0.999	0.000	0.8586	0.7436	1
20278	20312	-1.002	0.000	0.9063	0.7601	1
20278	20313	-1.004	0.000	0.9610	0.8860	1
20279	20318	-1.004	0.000	0.8880	0.7526	1
20286	20301	-1.002	0.000	0.9589	0.8822	1
20286	20331	-2.004	0.000	0.9291	0.8610	1
20288	20309	-1.005	0.000	0.9463	0.8822	1
20288	20733	-17.031	0.000	0.8999	0.7825	1
20288	20760	-18.039	0.000	0.8541	0.7459	1
20289	20308	-0.996	0.000	0.9197	0.8528	1
20292	20321	-1.005	0.000	0.9246	0.8552	1
20297	20328	-0.999	0.000	0.9781	0.9313	1
20301	20331	-1.002	0.000	0.8529	0.7990	1
20305	20332	-0.999	0.000	0.9048	0.8418	1
20305	20359	-2.001	0.000	0.8462	0.7927	1
20307	20334	-1.008	0.000	0.9151	0.8280	1
20307	20335	-1.011	0.000	0.8372	0.5387	1
20309	20733	-16.026	0.000	0.9245	0.8427	1
20309	20760	-17.034	0.000	0.8808	0.7856	1
20312	20313	-0.002	0.000	0.8940	0.7575	1
20315	20337	-1.005	0.000	0.8704	0.7896	1
20316	20346	-1.000	0.000	0.7744	0.5213	1
20327	20354	-1.000	0.000	0.8102	0.7554	1
20329	20356	-0.994	0.000	0.9871	0.9643	1
20329	20895	-14.014	0.000	0.9291	0.8283	1
20332	20359	-1.002	0.000	0.8819	0.8057	1
20334	20335	-0.003	0.000	0.8311	0.5421	1
20334	20374	-2.007	0.000	0.7250	0.6145	1
20335	20374	-2.004	0.000	0.7125	0.4309	1
20340	20363	-0.996	0.000	0.7279	0.5602	1
20341	20364	-0.999	0.000	0.9910	0.9792	1
20341	20380	-2.004	0.000	0.9311	0.8827	1
20341	38274	-0.000	0.000	0.7587	0.7127	1
20341	38279	-1.000	0.000	0.7463	0.6811	1
20343	20369	-1.002	0.000	0.9667	0.8971	1
20345	20365	-0.996	0.000	0.9611	0.8945	1
20347	20379	-1.004	0.000	0.7787	0.6057	1
20348	20366	-1.016	0.000	0.8317	0.7702	1
20349	20373	-0.986	0.000	0.7749	0.6463	1
20351	20367	-1.012	0.000	0.9351	0.7975	1
20351	20386	-2.008	0.000	0.9182	0.7716	1
20351	20398	-3.016	0.000	0.8324	0.6495	1
20351	34926	-1.019	0.000	0.8008	0.6025	1
20351	34935	-2.015	0.000	0.7872	0.5827	1
20352	20394	-1.008	0.000	0.9512	0.8923	1
20356	20934	-14.020	0.000	0.9399	0.8236	1
20357	20370	-1.005	0.000	0.8606	0.7755	1
20364	20380	-1.005	0.000	0.9452	0.8920	1
20364	38274	0.999	0.000	0.7543	0.7148	1
20364	38279	-0.001	0.000	0.7474	0.7028	1
20367	20386	-0.996	0.000	0.9592	0.8987	1
20367	20398	-2.004	0.000	0.8384	0.7089	1
20367	34926	-0.007	0.000	0.8344	0.6862	1
20367	34935	-1.003	0.000	0.8318	0.6844	1
20371	20396	-1.000	0.000	0.9034	0.8454	1
20371	20409	-1.996	0.000	0.9425	0.8945	1
20371	34941	-1.000	0.000	0.7122	0.6746	1
20375	20413	-0.998	0.000	0.9158	0.8441	1
20380	38274	2.004	0.000	0.7006	0.6559	1
20380	38279	1.004	0.000	0.7033	0.6504	1
20381	20462	-1.982	0.000	0.7928	0.7359	1
20386	20398	-1.008	0.000	0.8217	0.6902	1
20386	34926	0.989	0.000	0.8134	0.6619	1
20386	34935	-0.007	0.000	0.8175	0.6562	1
20395	20406	-0.999	0.000	0.9703	0.9238	1
20395	20439	-1.998	0.000	0.9610	0.9144	1
20396	20409	-0.996	0.000	0.8508	0.7866	1
20400	20430	-1.002	0.000	0.9750	0.9435	1
20400	20458	-2.022	0.000	0.8730	0.7711	1
20400	38312	-0.999	0.000	0.7031	0.7772	1
20401	20429	-1.005	0.000	0.9666	0.8572	1
20401	20460	-2.007	0.000	0.8853	0.6905	1
20401	20914	-18.039	0.000	0.8442	0.6855	1
20403	20431	-0.993	0.000	0.8542	0.7901	1
20403	20466	-2.019	0.000	0.9009	0.8197	1
20406	20439	-0.999	0.000	0.9664	0.9238	1
20409	21226	-42.036	0.000	0.7320	0.6509	1
20416	20457	-0.998	0.000	0.9433	0.8479	1
20420	20472	-1.000	0.000	0.9472	0.8789	1
20420	26376	-1018.537	0.000	0.7002	0.4668	1
20421	20471	-1.980	0.000	0.7332	0.6807	1
20422	20471	-1.972	0.000	0.7016	0.5288	1
20429	20460	-1.002	0.000	0.9047	0.7105	1
20429	20914	-17.034	0.000	0.8283	0.6484	1
20429	21050	-21.975	0.000	0.7011	0.5097	1
20430	20458	-1.020	0.000	0.8577	0.7498	1
20431	20466	-1.026	0.000	0.8016	0.7464	1
20434	20463	-1.002	0.000	0.9604	0.9218	1
20440	20477	-1.005	0.000	0.9676	0.9097	1
20440	20490	-1.998	0.000	0.9392	0.8470	1
20453	20483	-1.008	0.000	0.8630	0.7325	1
20459	20478	-1.008	0.000	0.8337	0.7207	1
20459	20492	-1.996	0.000	0.7427	0.6884	1
20460	20914	-16.032	0.000	0.7835	0.5759	1
20467	20498	-1.000	0.000	0.9067	0.8019	1
20469	20475	-0.016	0.000	0.8094	0.6105	1
20472	26395	-1018.536	0.000	0.7040	0.5642	1
20472	26397	-1018.545	0.000	0.7015	0.4920	1
20473	20513	-2.010	0.000	0.8014	0.6521	1
20474	20499	-0.994	0.000	0.9047	0.7771	1
20477	20490	-0.993	0.000	0.9373	0.8452	1
20478	20492	-0.988	0.000	0.7676	0.6895	1
20486	20508	-0.999	0.000	0.9404	0.9126	1
20491	20515	-1530.781	0.000	0.8142	0.7198	1
20491	20522	-1531.770	0.000	0.8078	0.7063	1
20500	20548	-1.000	0.000	0.9257	0.8667	1
