CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
39068	39119	14	0.9187	-15.03
39119	39130	14	0.9488	-2.001
39119	39133	14	0.9107	-2.994
39119	39137	14	0.8663	-3.99
39143	39153	14	0.8634	-1.98
39147	39153	14	0.7799	-1.005
39057	39133	14	0.9086	-20.013
39068	39133	14	0.9559	-18.024
39074	39133	14	0.9742	-17.025
39130	39133	14	0.9728	-0.993
39133	39137	14	0.8763	-0.996
37398	39133	14	0.907	-342.156
39147	39641	14	0.7185	-227.16
37231	37391	14	0.9527	-18.039
37242	37391	14	0.9385	-16.026
37247	37391	14	0.8771	-15.081
37391	37398	14	0.9618	-1.002
38995	38996	14	0.7834	-0.036
38995	38997	14	0.7375	-0.033
39143	39147	14	0.8124	-0.975
38614	38623	14	0.9063	-0.993
39057	39130	14	0.9287	-19.021
39068	39130	14	0.9753	-17.031
39074	39130	14	0.9669	-16.032
39130	39137	14	0.9409	-1.989
37398	39130	14	0.894	-341.163
37231	37242	14	0.9363	-2.013
37242	37247	14	0.9072	-0.945
37242	37398	14	0.9449	-17.028
37242	39074	14	0.899	-342.159
39057	39074	14	0.9361	-2.988
39068	39074	14	0.9862	-0.999
39074	39137	14	0.9462	-18.021
37231	37398	14	0.9435	-19.041
37247	37398	14	0.8892	-16.083
39068	39137	14	0.9293	-19.02
37231	37247	14	0.8662	-2.958
37231	39057	14	0.8651	-341.184
37231	39058	14	0.8199	-341.184
39057	39068	14	0.9472	-1.989
3109	3119	15	0.9713	-1.005
2626	2645	16	0.835	-1.005
36828	36843	17	0.9377	-0.998
15890	15919	18	0.8576	-0.998
9078	9089	19	0.7254	-1.008
27843	27862	20	0.9324	-1.005
26805	26816	21	0.8269	-0.984
26805	26834	21	0.7325	-1.988
26816	26834	21	0.8393	-1.004
24778	24816	22	0.9499	-1.006
24816	25335	22	0.903	-16.02
24778	25335	22	0.8933	-17.026
33293	33318	23	0.9698	-1.006
3732	4398	24	0.7287	-50.163
24149	24197	24	0.8003	-2.002
24150	24197	24	0.8159	-2.0
24169	24197	24	0.7156	-1.01
24197	24198	24	0.8898	-0.014
24197	24230	24	0.9	-0.956
24197	24266	24	0.808	-2.0
24197	28853	24	0.7428	-148.97
3722	3724	24	0.7962	501.575
3723	3724	24	0.7721	501.731
3724	3725	24	0.7811	-0.35
3724	3728	24	0.78	-503.531
3724	3729	24	0.788	-1.344
3724	4388	24	0.9461	-550.196
3724	5053	24	0.9119	-66.118
3724	18739	24	0.8147	-476.182
3724	18740	24	0.8709	-476.18
3724	18781	24	0.7731	-478.18
5054	5056	24	0.7197	533.892
8097	8098	24	0.7614	-1184.881
9115	9121	24	0.7427	608.333
3712	3722	24	0.7416	-2.016
3719	3722	24	0.8433	-0.993
3720	3722	24	0.714	-502.193
3722	3725	24	0.787	501.225
3722	3728	24	0.7139	-1.956
3722	4388	24	0.7874	-48.621
3722	5054	24	0.7066	-99.705
3722	18740	24	0.7246	25.395
3728	3729	24	0.7424	502.187
3728	4388	24	0.7556	-46.665
9113	9121	24	0.7874	-1.28
9119	9121	24	0.7613	1218.876
7243	9121	24	0.7422	-67.076
8097	9121	24	0.8049	-35.334
18739	18740	24	0.9586	0.002
18740	18781	24	0.8243	-2.0
18740	19931	24	0.728	-790.728
18740	24149	24	0.7262	-148.03
18740	24150	24	0.7934	-148.032
3723	18740	24	0.7121	25.551
4388	18740	24	0.8613	74.016
5053	18740	24	0.8264	-410.062
18739	18781	24	0.824	-1.998
18781	18798	24	0.7238	-1.004
3720	3729	24	0.7492	-1.962
3725	3729	24	0.809	-0.994
3729	4388	24	0.773	-548.852
3723	4398	24	0.7154	-53.001
