identifier	precursor_charge	precursor_mz	retention_time	cluster	filename	scan
mzspec:USI000000:EK_Q_07:scan:4267	3	489.257080078125	22.914436	3970	EK_Q_07.mzML	4267
mzspec:USI000000:EK_Q_07:scan:4270	2	733.380615234375	22.926947	2577	EK_Q_07.mzML	4270
mzspec:USI000000:EK_Q_07:scan:4273	3	776.422485351563	22.952324	4709	EK_Q_07.mzML	4273
mzspec:USI000000:EK_Q_07:scan:4296	3	501.904876708984	23.011889	4019	EK_Q_07.mzML	4296
mzspec:USI000000:EK_Q_07:scan:4314	3	405.2314453125	23.04732	3646	EK_Q_07.mzML	4314
mzspec:USI000000:EK_Q_07:scan:4322	3	443.562133789063	23.064605	3805	EK_Q_07.mzML	4322
mzspec:USI000000:EK_Q_07:scan:4329	3	402.2080078125	23.091226	3632	EK_Q_07.mzML	4329
mzspec:USI000000:EK_Q_07:scan:4376	2	602.810119628906	23.203093	1698	EK_Q_07.mzML	4376
mzspec:USI000000:EK_Q_07:scan:4377	3	647.653198242188	23.211924	4504	EK_Q_07.mzML	4377
mzspec:USI000000:EK_Q_07:scan:4408	3	532.938049316406	23.270383	4152	EK_Q_07.mzML	4408
mzspec:USI000000:EK_Q_07:scan:4450	2	416.747619628906	23.370264	219	EK_Q_07.mzML	4450
mzspec:USI000000:EK_Q_07:scan:4464	2	503.762573242188	23.409295	822	EK_Q_07.mzML	4464
mzspec:USI000000:EK_Q_07:scan:4479	2	684.334838867188	23.496779	2253	EK_Q_07.mzML	4479
mzspec:USI000000:EK_Q_07:scan:4482	2	492.280212402344	23.523237	722	EK_Q_07.mzML	4482
mzspec:USI000000:EK_Q_07:scan:4486	2	558.795166015625	23.546325	1281	EK_Q_07.mzML	4486
mzspec:USI000000:EK_Q_07:scan:4489	2	543.313781738281	23.568366	1165	EK_Q_07.mzML	4489
mzspec:USI000000:EK_Q_07:scan:4492	3	331.536071777344	23.594829	3495	EK_Q_07.mzML	4492
mzspec:USI000000:EK_Q_07:scan:4493	3	398.243041992188	23.603639	3613	EK_Q_07.mzML	4493
mzspec:USI000000:EK_Q_07:scan:4495	3	489.256652832031	23.607975	3970	EK_Q_07.mzML	4495
mzspec:USI000000:EK_Q_07:scan:4496	2	421.758453369141	23.612056	242	EK_Q_07.mzML	4496
mzspec:USI000000:EK_Q_07:scan:4497	3	529.9415	23.617889	4136	EK_Q_07.mzML	4497
mzspec:USI000000:EK_Q_07:scan:4499	2	733.382202148438	23.6346	2577	EK_Q_07.mzML	4499
mzspec:USI000000:EK_Q_07:scan:4501	3	426.565582275391	23.652237	3719	EK_Q_07.mzML	4501
mzspec:USI000000:EK_Q_07:scan:4502	2	791.421691894531	23.661079	2836	EK_Q_07.mzML	4502
mzspec:USI000000:EK_Q_07:scan:4512	3	405.230072021484	23.729433	3646	EK_Q_07.mzML	4512
mzspec:USI000000:EK_Q_07:scan:4521	3	527.951171875	23.77875	4122	EK_Q_07.mzML	4521
mzspec:USI000000:EK_Q_07:scan:4522	2	626.258178710938	23.787575	1860	EK_Q_07.mzML	4522
mzspec:USI000000:EK_Q_07:scan:4523	3	602.307250976563	23.796402	4362	EK_Q_07.mzML	4523
mzspec:USI000000:EK_Q_07:scan:4524	2	622.833984375	23.805231	1834	EK_Q_07.mzML	4524
mzspec:USI000000:EK_Q_07:scan:4525	2	453.755615234375	23.81404	427	EK_Q_07.mzML	4525
mzspec:USI000000:EK_Q_07:scan:4526	2	788.404174804688	23.822883	2827	EK_Q_07.mzML	4526
mzspec:USI000000:EK_Q_07:scan:4546	2	451.760314941406	23.938419	418	EK_Q_07.mzML	4546
mzspec:USI000000:EK_Q_07:scan:4582	3	423.205017089844	24.10404	3708	EK_Q_07.mzML	4582
mzspec:USI000000:EK_Q_07:scan:4600	2	558.795288085938	24.228778	1280	EK_Q_07.mzML	4600
mzspec:USI000000:EK_Q_07:scan:4601	3	404.575439453125	24.235015	3644	EK_Q_07.mzML	4601
mzspec:USI000000:EK_Q_07:scan:4602	2	713.886901855469	24.243857	2473	EK_Q_07.mzML	4602
mzspec:USI000000:EK_Q_07:scan:4608	3	489.255	24.276069	3971	EK_Q_07.mzML	4608
mzspec:USI000000:EK_Q_07:scan:4609	2	399.745513916016	24.28488	147	EK_Q_07.mzML	4609
mzspec:USI000000:EK_Q_07:scan:4611	3	613.001953125	24.302532	4396	EK_Q_07.mzML	4611
mzspec:USI000000:EK_Q_07:scan:4612	2	527.8355	24.311359	1011	EK_Q_07.mzML	4612
mzspec:USI000000:EK_Q_07:scan:4617	3	453.243530273438	24.345765	3830	EK_Q_07.mzML	4617
